Green_Zone_name|Number of Museums in influence area|Number of parking lots in influence area|Number of tourist attractions in influence area|Green Zones Daily Average Demand|Resident|Daily average of people in influence area|Number of buildings in influence area|Number of families in influence area|Number of people resident in influence area|perc_senior_pop|perc_pop_until_19_yo|POINT_X|POINT_Y
"JARDIM FRANCISCO SÁ CARNEIRO"|2|4|1|7.391078|1|19714.378546|7789|19185|44298|0.236941|0.154770|-8.592780|41.162730
"JARDIM FUNDAÇÃO CALOUSTE GULBENKIAN"|92|93|58|1291.870084|0|36577.848107|3521|24581|59559|0.161672|0.197283|-9.155130|38.738050
"JARDIM FUNDAÇÃO CALOUSTE GULBENKIAN"|92|93|58|1291.870084|1|30892.425376|3521|24581|59559|0.161672|0.197283|-9.155130|38.738050
"JARDIM GARCIA DORTA"|3|6|11|15.636602|0|8821.912635|1553|14194|38102|0.186998|0.193139|-9.092640|38.769330
"JARDIM GARCIA DORTA"|3|6|11|15.636602|1|22274.016565|1553|14194|38102|0.186998|0.193139|-9.092640|38.769330
"JARDIM IRMÃ LÚCIA"|14|33|9|3.286878|0|8821.912635|1553|14194|38102|0.186998|0.193139|-9.137990|38.739550
"JARDIM IRMÃ LÚCIA"|14|33|9|3.286878|1|22274.016565|1553|14194|38102|0.186998|0.193139|-9.137990|38.739550
"JARDIM JOÃO FREDERICO LUDOVICE"|1|9|0|11.818563|0|36893.356166|2811|16735|36821|0.289346|0.151598|-9.207210|38.749780
"JARDIM JOÃO FREDERICO LUDOVICE"|1|9|0|11.818563|1|14666.685976|2811|16735|36821|0.289346|0.151598|-9.207210|38.749780
"JARDIM LISBOA ANTIGA"|73|57|47|2.630584|0|36893.356166|2811|16735|36821|0.289346|0.151598|-9.154450|38.711660
"JARDIM LISBOA ANTIGA"|73|57|47|2.630584|1|14666.685976|2811|16735|36821|0.289346|0.151598|-9.154450|38.711660
"JARDIM NOVE DE ABRIL"|106|182|108|8.374656|0|491.636442|2041|4529|12701|0.104874|0.260294|-9.162920|38.704630
"JARDIM NOVE DE ABRIL"|106|182|108|8.374656|1|9928.080489|2041|4529|12701|0.104874|0.260294|-9.162920|38.704630
"JARDIM PAULO VALLADA"|0|0|0|1029.884842|0|52834.126879|5428|10994|24265|0.271337|0.149062|-8.597510|41.152610
"JARDIM PAULO VALLADA"|0|0|0|1029.884842|1|16782.664422|5428|10994|24265|0.271337|0.149062|-8.597510|41.152610
"JARDIM PROF. ANTÓNIO SOUSA FRANCO"|90|100|66|400.488610|0|491.636442|2041|4529|12701|0.104874|0.260294|-9.167960|38.760210
"JARDIM PROF. ANTÓNIO SOUSA FRANCO"|90|100|66|400.488610|1|9928.080489|2041|4529|12701|0.104874|0.260294|-9.167960|38.760210
"JRD. CP. VINTE E QUATRO DE AGOSTO"|0|1|0|3193.372906|0|52834.126879|5428|10994|24265|0.271337|0.149062|-8.598670|41.149340
"JRD. CP. VINTE E QUATRO DE AGOSTO"|0|1|0|3193.372906|1|16782.664422|5428|10994|24265|0.271337|0.149062|-8.598670|41.149340
"MATA DE BENFICA"|0|3|0|12.466047|0|36893.356166|2811|16735|36821|0.289346|0.151598|-9.203980|38.748360
"MATA DE BENFICA"|0|3|0|12.466047|1|14666.685976|2811|16735|36821|0.289346|0.151598|-9.203980|38.748360
"PARQUE DA CIDADE DE LOURES"|1|9|4|1047.505649|0|6008.626849|5028|10598|27362|0.161501|0.209341|-9.161535|38.825980
"PARQUE DA CIDADE DE LOURES"|1|9|4|1047.505649|1|17235.051457|5028|10598|27362|0.161501|0.209341|-9.161535|38.825980
"PARQUE DE SÃO ROQUE"|3|6|3|48.613864|0|94809.514222|7789|19185|44298|0.236941|0.154770|-8.589620|41.159840
"PARQUE DE SÃO ROQUE"|3|6|3|48.613864|1|19714.378546|7789|19185|44298|0.236941|0.154770|-8.589620|41.159840
"PARQUE DOS ANJOS"|46|64|33|9.430307|0|6877.019678|2762|5675|15157|0.152801|0.223659|-9.229810|38.699600
"PARQUE DOS ANJOS"|46|64|33|9.430307|1|6390.846503|2762|5675|15157|0.152801|0.223659|-9.229810|38.699600
"PARQUE EDUARDO VII"|107|190|203|101.985620|1|49448.596049|8755|36985|90176|0.173749|0.195861|-9.152690|38.728350
"PARQUE EDUARDO VII"|107|190|203|101.985620|0|71203.931780|8755|36985|90176|0.173749|0.195861|-9.152690|38.728350
"PARQUE INFANTIL CONDE DE BONFIM"|1|0|1|242.791403|0|48833.540984|1753|15298|33745|0.246259|0.169625|-9.181960|38.745810
"PARQUE INFANTIL CONDE DE BONFIM"|1|0|1|242.791403|1|15177.780686|1753|15298|33745|0.246259|0.169625|-9.181960|38.745810
"PARQUE INFANTIL DO IPO"|28|44|11|20.681678|0|36893.356166|2811|16735|36821|0.289346|0.151598|-9.162250|38.739800
"PARQUE INFANTIL DO IPO"|28|44|11|20.681678|1|14666.685976|2811|16735|36821|0.289346|0.151598|-9.162250|38.739800
"PARQUE INFANTIL PRAÇA DE LONDRES"|12|33|7|7.919183|0|8821.912635|1553|14194|38102|0.186998|0.193139|-9.138540|38.741280
"PARQUE INFANTIL PRAÇA DE LONDRES"|12|33|7|7.919183|1|22274.016565|1553|14194|38102|0.186998|0.193139|-9.138540|38.741280
"PARQUE JOSÉ FONTANA"|107|196|103|73.778651|0|6877.019678|2762|5675|15157|0.152801|0.223659|-9.143900|38.729610
"PARQUE JOSÉ FONTANA"|107|196|103|73.778651|1|6390.846503|2762|5675|15157|0.152801|0.223659|-9.143900|38.729610
"PARQUE RECREATIVO ALTO DA SERAFINA"|55|57|25|3.472030|0|42877.741202|1775|17185|41163|0.161747|0.204917|-9.179160|38.734670
"PARQUE RECREATIVO ALTO DA SERAFINA"|55|57|25|3.472030|1|17497.825376|1775|17185|41163|0.161747|0.204917|-9.179160|38.734670
"PARQUE URBANO DA QUINTA DA GRANJA"|4|7|2|12.260912|0|58043.560345|4615|25799|60137|0.237458|0.177794|-9.189710|38.751810
"PARQUE URBANO DA QUINTA DA GRANJA"|4|7|2|12.260912|1|28247.128644|4615|25799|60137|0.237458|0.177794|-9.189710|38.751810
"PARQUE URBANO DA QUINTA NOVA"|0|3|0|153.690076|0|36577.848107|3521|24581|59559|0.161672|0.197283|-9.176870|38.798770
"PARQUE URBANO DA QUINTA NOVA"|0|3|0|153.690076|1|30892.425376|3521|24581|59559|0.161672|0.197283|-9.176870|38.798770
"PARQUE URBANO DO CASTELINHO"|0|1|0|215.385850|0|36577.848107|3521|24581|59559|0.161672|0.197283|-9.181560|38.794840
"PARQUE URBANO DO CASTELINHO"|0|1|0|215.385850|1|30892.425376|3521|24581|59559|0.161672|0.197283|-9.181560|38.794840
"PARQUE URBANO DO SILVADO"|1|1|1|8.140077|0|36577.848107|3521|24581|59559|0.161672|0.197283|-9.182490|38.784630
"PARQUE URBANO DO SILVADO"|1|1|1|8.140077|1|30892.425376|3521|24581|59559|0.161672|0.197283|-9.182490|38.784630
"PQ. INFA. JARD. MARQUÊS DE MARIALA"|36|47|23|39.760738|0|42877.741202|1775|17185|41163|0.161747|0.204917|-9.144650|38.743080
"PQ. INFA. JARD. MARQUÊS DE MARIALA"|36|47|23|39.760738|1|17497.825376|1775|17185|41163|0.161747|0.204917|-9.144650|38.743080
"PQ. INFA. JARDIM GOMES DE AMORIM"|90|93|60|331.538318|0|36577.848107|3521|24581|59559|0.161672|0.197283|-9.143580|38.737550
"PQ. INFA. JARDIM GOMES DE AMORIM"|90|93|60|331.538318|1|30892.425376|3521|24581|59559|0.161672|0.197283|-9.143580|38.737550
"PQ. INFANTIL AV. MARQUÊS DE TOMAR"|111|234|125|54.424529|0|3340.204992|9811|29543|78951|0.119948|0.248002|-9.150190|38.739250
"PQ. INFANTIL AV. MARQUÊS DE TOMAR"|111|234|125|54.424529|1|31407.401519|9811|29543|78951|0.119948|0.248002|-9.150190|38.739250
"PQ. INFANTIL HOSPITAL DE SANTA MARIA"|6|21|4|15.250156|0|48833.540984|1753|15298|33745|0.246259|0.169625|-9.159310|38.746940
"PQ. INFANTIL HOSPITAL DE SANTA MARIA"|6|21|4|15.250156|1|15177.780686|1753|15298|33745|0.246259|0.169625|-9.159310|38.746940
"PRAÇA NOVE DE ABRIL"|0|0|0|15.707606|0|94809.514222|7789|19185|44298|0.236941|0.154770|-8.611870|41.171060
"PRAÇA NOVE DE ABRIL"|0|0|0|15.707606|1|19714.378546|7789|19185|44298|0.236941|0.154770|-8.611870|41.171060
"QUINTA DAS CONCHAS"|0|0|0|3.129490|0|42877.741202|1775|17185|41163|0.161747|0.204917|-9.155200|38.771210
"QUINTA DAS CONCHAS"|0|0|0|3.129490|1|17497.825376|1775|17185|41163|0.161747|0.204917|-9.155200|38.771210
"QUINTA DOS LILÁSES"|0|0|0|103.891288|0|42877.741202|1775|17185|41163|0.161747|0.204917|-9.159500|38.769930
"QUINTA DOS LILÁSES"|0|0|0|103.891288|1|17497.825376|1775|17185|41163|0.161747|0.204917|-9.159500|38.769930
