Region_of_Origin,District_of_Origin,County_of_Origin,Region_of_Public_Transportation,District_of_Public_Transportation,County_of_Public_Transportation,Dicofre_ParishCode_of_Public_Transportation,Demand_weight
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,PORTO,131216,0.000184
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,SETÚBAL,ALMADA,150312,0.000131
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,PORTO,131217,0.000084
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,SETÚBAL,ALMADA,150315,0.000064
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,SETÚBAL,ALMADA,150314,0.000064
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,MATOSINHOS,130812,0.000038
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,ODIVELAS,111609,0.000031
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,PORTO,131218,0.000026
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,OEIRAS,111002,0.000026
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,VALONGO,131505,0.000024
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,PORTO,131211,0.000023
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,SETÚBAL,ALMADA,150313,0.000023
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,MAIA,130619,0.000019
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LOURES,110731,0.000016
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,ODIVELAS,111610,0.000016
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,PORTO,131210,0.000013
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,VALONGO,131503,0.00001
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,VALONGO,131501,0.000009
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,SETÚBAL,SEIXAL,151005,0.000009
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,MATOSINHOS,130811,0.000008
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,SINTRA,111126,0.000007
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,AMADORA,111516,0.000007
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,PORTO,131202,0.000007
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LOURES,110730,0.000004
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LOURES,110707,0.000004
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LOURES,110728,0.000003
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,VALONGO,131506,0.000003
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,SANTO TIRSO,131402,0.000003
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,GONDOMAR,130412,0.000003
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,MATOSINHOS,130813,0.000003
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,PORTO,131203,0.000002
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,VILA NOVA DE GAIA,131730,0.000002
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,MATOSINHOS,130814,0.000001
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,PAREDES,131019,0.000001
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,PAREDES,131013,0.000001
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,PAREDES,131001,0.000001
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,GONDOMAR,130413,0.000001
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,PAREDES,131011,0.000001
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,SANTO TIRSO,131401,0.000001
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,GONDOMAR,130408,0.000001
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,MAIA,130603,0.000001
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,MAIA,130601,0.000001
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,110658,0.1343
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,110660,0.087703
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,110654,0.081601
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,110608,0.068546
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,110666,0.067673
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,110633,0.059552
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,110602,0.059341
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,110661,0.048569
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,110662,0.042587
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,110659,0.040948
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,110665,0.038394
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,110610,0.035949
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,110639,0.031596
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,110657,0.030572
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,110656,0.024232
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,110621,0.02235
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,110618,0.021105
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,110601,0.020282
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,OEIRAS,111012,0.018961
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,110655,0.013411
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,110611,0.012955
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,110667,0.011689
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,AMADORA,111512,0.009247
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,110663,0.006365
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,110607,0.004839
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LOURES,110726,0.001387
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,110664,0.001136
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,PORTO,131217,0.000836
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,AMADORA,111515,0.000452
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,OEIRAS,111013,0.000434
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,PORTO,131216,0.000347
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,AMADORA,111513,0.000341
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,GONDOMAR,130408,0.000311
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LOURES,110727,0.000305
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,MATOSINHOS,130811,0.000211
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,VILA NOVA DE GAIA,131730,0.000197
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,MATOSINHOS,130812,0.000163
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,PORTO,131218,0.000146
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,ODIVELAS,111603,0.00014
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,AMADORA,111517,0.000078
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,PORTO,131202,0.000074
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,SETÚBAL,ALMADA,150312,0.000066
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,ODIVELAS,111608,0.000066
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,GONDOMAR,130413,0.000064
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,AMADORA,111514,0.000052
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,PORTO,131211,0.000044
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,SETÚBAL,ALMADA,150315,0.000043
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,SETÚBAL,ALMADA,150314,0.000043
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,PORTO,131203,0.000035
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,MAIA,130619,0.000035
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,VALONGO,131505,0.000032
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,PORTO,131210,0.00003
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,GONDOMAR,130412,0.000025
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,VALONGO,131503,0.000015
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,ODIVELAS,111609,0.000015
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,SETÚBAL,ALMADA,150313,0.000012
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LOURES,110728,0.000011
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,MATOSINHOS,130813,0.000011
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LOURES,110731,0.000011
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,MAIA,130601,0.00001
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,SETÚBAL,SEIXAL,151005,0.000009
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,MATOSINHOS,130814,0.000009
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,OEIRAS,111002,0.000007
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,MAIA,130609,0.000006
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,ODIVELAS,111610,0.000005
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,SANTO TIRSO,131402,0.000003
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,VALONGO,131501,0.000003
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,VILA NOVA DE GAIA,131727,0.000003
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,VALONGO,131506,0.000002
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,MAIA,130603,0.000001
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,MAIA,130616,0.000001
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,PAREDES,131001,0.000001
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,AMADORA,111516,0.000001
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,SINTRA,111126,0.000001
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LOURES,110707,0.000001
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LOURES,110730,0.000001
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,MAIA,130620,0
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,MAIA,130618,0
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,PAREDES,131011,0
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,SANTO TIRSO,131401,0
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,PAREDES,131019,0
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,PAREDES,131013,0
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,MAIA,130617,0
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,MAIA,130608,0
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,GONDOMAR,130415,0
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,GONDOMAR,130414,0
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,VILA DO CONDE,131603,0
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,VILA NOVA DE GAIA,131704,0
R1 - AM Lisboa,Lisboa,Cascais,R2 - AM Porto,PORTO,VILA NOVA DE GAIA,131709,0
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,LISBOA,110654,0.162226
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,LISBOA,110660,0.076267
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,LISBOA,110618,0.068806
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,LISBOA,110639,0.067214
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,LISBOA,110659,0.060499
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,LISBOA,110610,0.055143
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,LISBOA,110633,0.050321
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,LISBOA,110657,0.048039
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,LISBOA,110656,0.047014
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,LISBOA,110621,0.046308
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,LISBOA,110658,0.046279
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,LISBOA,110666,0.041707
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,LISBOA,110661,0.040948
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,LISBOA,110608,0.039357
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,LISBOA,110655,0.029981
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,LISBOA,110602,0.022071
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,LISBOA,110611,0.017475
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,LISBOA,110663,0.017399
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,LISBOA,110662,0.017145
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,LISBOA,110665,0.014596
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,LISBOA,110667,0.009387
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,LISBOA,110601,0.005856
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,LISBOA,110607,0.004547
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,OEIRAS,111012,0.002638
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,LISBOA,110664,0.002521
R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,PORTO,131210,0.001403
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,AMADORA,111512,0.001133
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,LOURES,110726,0.001039
R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,PORTO,131217,0.000537
R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,MATOSINHOS,130814,0.000378
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,LOURES,110727,0.000347
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,AMADORA,111513,0.000207
R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,MATOSINHOS,130811,0.000205
R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,PORTO,131202,0.000117
R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,MATOSINHOS,130812,0.000099
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,OEIRAS,111013,0.000089
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,ODIVELAS,111608,0.000081
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,AMADORA,111515,0.000079
R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,PORTO,131218,0.000068
R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,PORTO,131216,0.00006
R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,PORTO,131211,0.000055
R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,PORTO,131203,0.000048
R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,MAIA,130619,0.00004
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,SETÚBAL,ALMADA,150312,0.000034
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,ODIVELAS,111603,0.000033
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,AMADORA,111514,0.000033
R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,MAIA,130617,0.00002
R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,MAIA,130601,0.000019
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,AMADORA,111517,0.000016
R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,VALONGO,131503,0.000014
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,SETÚBAL,ALMADA,150315,0.000013
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,SETÚBAL,ALMADA,150314,0.000013
R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,GONDOMAR,130408,0.00001
R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,VILA NOVA DE GAIA,131730,0.000009
R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,MATOSINHOS,130813,0.000008
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,ODIVELAS,111609,0.000007
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,LOURES,110728,0.000005
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,LOURES,110731,0.000004
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,SETÚBAL,ALMADA,150313,0.000004
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,OEIRAS,111002,0.000003
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,ODIVELAS,111610,0.000003
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,SETÚBAL,SEIXAL,151005,0.000003
R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,VALONGO,131501,0.000003
R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,MAIA,130609,0.000002
R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,MAIA,130608,0.000002
R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,VILA NOVA DE GAIA,131727,0.000002
R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,SANTO TIRSO,131402,0.000001
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,LOURES,110707,0.000001
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,LOURES,110730,0.000001
R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,GONDOMAR,130412,0.000001
R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,VALONGO,131505,0.000001
R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,VALONGO,131506,0.000001
R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,GONDOMAR,130413,0.000001
R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,MAIA,130603,0.000001
R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,MAIA,130620,0.000001
R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,MAIA,130618,0
R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,GONDOMAR,130415,0
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,AMADORA,111516,0
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,SINTRA,111126,0
R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,MAIA,130616,0
R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,MAIA,130613,0
R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,TROFA,131811,0
R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,PAREDES,131013,0
R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,PAREDES,131001,0
R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,PAREDES,131011,0
R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,PAREDES,131019,0
R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,SANTO TIRSO,131401,0
R1 - AM Lisboa,Lisboa,Lisboa,R2 - AM Porto,PORTO,TROFA,131806,0
