,Categoria criminologa,Sottocategoria Criminologica,Circoscrizione,Localita,Area Verde,Data,Ora
366,Convivenza Civile,Disturbi da locali,3.0,VIRLE/(VIA)                                                           ,,2018-09-21,
367,Convivenza Civile,Disturbi da locali,8.0,NIZZA/(VIA)                                                           ,,2018-09-21,
368,Convivenza Civile,Disturbi da locali,1.0,PIGAFETTA/ANTONIO (VIA)                                               ,,2018-09-24,
369,Convivenza Civile,Disturbi da locali,2.0,BASILICATA/(PIAZZA)                                                   ,,2018-09-24,
370,Convivenza Civile,Disturbi da locali,7.0,BUNIVA/MICHELE (VIA)                                                  ,,2018-09-24,
371,Convivenza Civile,Disturbi da locali,2.0,CIMABUE/(VIA)                                                         ,,2018-09-25,11.03
372,Convivenza Civile,Disturbi da locali,6.0,QUITTENGO/(VIA)                                                       ,,2018-09-29,
373,Convivenza Civile,Disturbi da locali,5.0,MADONNA DI CAMPAGNA/(VIALE)                                           ,,2018-09-29,9.2
374,Convivenza Civile,Disturbi da locali,7.0,BOCCACCIO/GIOVANNI (VIA)                                              ,,2018-09-29,10.25
375,Convivenza Civile,Disturbi da locali,6.0,BRANDIZZO/(VIA)                                                       ,,2018-01-10,
376,Convivenza Civile,Disturbi da locali,3.0,BRUNELLESCHI/FILIPPO (CORSO)                                          ,,2018-02-10,
377,Convivenza Civile,Disturbi da locali,7.0,BRESCIA/(CORSO)                                                       ,,2018-05-10,8.43
378,Convivenza Civile,Disturbi da locali,1.0,ORFANE/(VIA DELLE)                                                    ,,2018-11-10,11.56
379,Convivenza Civile,Disturbi da locali,7.0,REGGIO/(VIA)                                                          ,,2018-10-18,10.44
380,Convivenza Civile,Disturbi da locali,8.0,BERTHOLLET/CLAUDIO LUIGI (VIA)                                        ,,2018-10-19,
381,Convivenza Civile,Disturbi da locali,3.0,VIRLE/(VIA)                                                           ,,2018-10-21,13.34
382,Convivenza Civile,Disturbi da locali,6.0,PALERMO/(CORSO)                                                       ,,2018-10-23,
383,Convivenza Civile,Disturbi da locali,8.0,VITTORIO EMANUELE II/(CORSO)                                          ,,2018-10-23,12.03
384,Convivenza Civile,Disturbi da locali,8.0,BERTHOLLET/CLAUDIO LUIGI (VIA)                                        ,,2018-10-23,12.27
385,Convivenza Civile,Disturbi da locali,1.0,PO/(VIA)                                                              ,,2018-10-29,
386,Convivenza Civile,Disturbi da locali,6.0,AOSTA/(VIA)                                                           ,,2018-06-11,
387,Convivenza Civile,Disturbi da locali,1.0,S. TERESA/(VIA)                                                       ,,2018-07-11,
388,Convivenza Civile,Disturbi da locali,1.0,GIOLITTI/GIOVANNI (VIA)                                               ,,2018-09-11,11.34
389,Convivenza Civile,Disturbi da locali,1.0,DES AMBROIS/LUIGI (VIA)                                               ,,2018-11-14,
390,Convivenza Civile,Disturbi da locali,1.0,DES AMBROIS/LUIGI (VIA)                                               ,,2018-11-14,
391,Convivenza Civile,Disturbi da locali,1.0,MARCO POLO/(VIA)                                                      ,,2018-11-14,
392,Convivenza Civile,Disturbi da locali,6.0,QUITTENGO/(VIA)                                                       ,,2018-11-14,
393,Convivenza Civile,Disturbi da locali,7.0,ANDREIS/VITTORIO (VIA)                                                ,,2018-11-14,
394,Convivenza Civile,Disturbi da locali,6.0,BOLOGNA/(VIA)                                                         ,,2018-11-14,13.21
395,Convivenza Civile,Disturbi da locali,6.0,VERCELLI/(CORSO)                                                      ,,2018-11-22,
396,Convivenza Civile,Disturbi da locali,3.0,ERITREA/(VIA)                                                         ,,2018-11-22,10.03
397,Convivenza Civile,Disturbi da locali,6.0,PALERMO/(CORSO)                                                       ,,2018-11-24,
398,Convivenza Civile,Disturbi da locali,3.0,STELVIO/(VIA)                                                         ,,2018-11-29,
399,Convivenza Civile,Disturbi da locali,1.0,VITTORIO EMANUELE II/(CORSO)                                          ,,2018-11-29,11.0
400,Convivenza Civile,Disturbi da locali,10.0,GARRONE FRATELLI (VIA)                                                ,,2018-11-30,
401,Convivenza Civile,Disturbi da locali,7.0,MONTEBELLO/(LARGO)                                                    ,,2018-01-12,
402,Convivenza Civile,Disturbi da locali,8.0,BELFIORE/(VIA)                                                        ,,2018-01-12,
403,Convivenza Civile,Disturbi da locali,1.0,MARIA VITTORIA/(VIA)                                                  ,,2018-03-12,
404,Convivenza Civile,Disturbi da locali,7.0,GUASTALLA/(VIA)                                                       ,,2018-04-12,
405,Convivenza Civile,Disturbi da locali,9.0,UNIONE SOVIETICA/(CORSO)                                              ,,2018-04-12,11.09
406,Convivenza Civile,Disturbi da locali,4.0,COLLEGNO/(STRADA ANTICA DI)                                           ,,2018-07-12,10.37
407,Convivenza Civile,Disturbi da locali,10.0,TRAIANO/(CORSO)                                                       ,,2018-11-12,10.22
408,Convivenza Civile,Disturbi da locali,6.0,PALERMO/(CORSO)                                                       ,,2018-12-14,11.38
409,Convivenza Civile,Disturbi da locali,4.0,CAPELLINA/DOMENICO (VIA)                                              ,,2018-12-28,
410,Convivenza Civile,Disturbi da locali,3.0,SPALATO/(VIA)                                                         ,,2018-12-30,
411,Convivenza Civile,Disturbi da locali,6.0,BOLOGNA/(VIA)                                                         ,,2018-12-30,
412,Convivenza Civile,Rumori molesti,3.0,BERNINI/LORENZO (PIAZZA)                                              ,,2018-02-07,
413,Convivenza Civile,Rumori molesti,4.0,S. DONATO/(VIA)                                                       ,,2018-03-07,
414,Convivenza Civile,Rumori molesti,7.0,COMO/(VIA)                                                            ,Area Verde,2018-03-07,
415,Convivenza Civile,Rumori molesti,1.0,VALDOCCO/(CORSO)                                                      ,,2018-04-07,
416,Convivenza Civile,Rumori molesti,3.0,CAVALLERMAGGIORE/(VIA)                                                ,,2018-04-07,
417,Convivenza Civile,Rumori molesti,7.0,ROSSINI/GIOACHINO (VIA)                                               ,,2018-05-07,
418,Convivenza Civile,Rumori molesti,2.0,BARLETTA/(VIA)                                                        ,,2018-07-07,
419,Convivenza Civile,Rumori molesti,1.0,S. MASSIMO/(VIA)                                                      ,,2018-09-07,
420,Convivenza Civile,Rumori molesti,2.0,SEBASTOPOLI/(CORSO)                                                   ,,2018-09-07,
421,Convivenza Civile,Rumori molesti,6.0,VALPRATO/(VIA)                                                        ,,2018-11-07,
422,Convivenza Civile,Rumori molesti,8.0,PRINCIPE TOMMASO/(VIA)                                                ,,2018-11-07,
423,Convivenza Civile,Rumori molesti,1.0,ASSAROTTI/OTTAVIO (VIA)                                               ,,2018-12-07,
424,Convivenza Civile,Rumori molesti,7.0,VERCELLI/(CORSO)                                                      ,,2018-07-13,
425,Convivenza Civile,Rumori molesti,6.0,MONTANARO/(VIA)                                                       ,,2018-07-14,
426,Convivenza Civile,Rumori molesti,3.0,MONGINEVRO/(VIA)                                                      ,,2018-07-18,
427,Convivenza Civile,Rumori molesti,1.0,MONTEVECCHIO/RODOLFO (VIA)                                            ,,2018-07-19,
428,Convivenza Civile,Rumori molesti,7.0,S. GIULIA/(PIAZZA)                                                    ,,2018-07-20,
429,Convivenza Civile,Rumori molesti,8.0,ORISTANO/(VIA)                                                        ,,2018-07-24,
430,Convivenza Civile,Rumori molesti,3.0,DUCHESSA JOLANDA/(VIA)                                                ,,2018-07-25,
431,Convivenza Civile,Rumori molesti,3.0,MONGINEVRO/(VIA)                                                      ,,2018-07-25,
432,Convivenza Civile,Rumori molesti,4.0,ASINARI DI BERNEZZO/VITTORIO (VIA)                                    ,,2018-07-25,
433,Convivenza Civile,Rumori molesti,8.0,GIURIA/PIETRO (VIA)                                                   ,,2018-07-25,
434,Convivenza Civile,Rumori molesti,7.0,VAL S. MARTINO SUPERIORE/(STRADA)                                     ,,2018-07-26,
435,Convivenza Civile,Rumori molesti,1.0,GARIBALDI/GIUSEPPE (VIA)                                              ,,2018-01-08,
436,Convivenza Civile,Rumori molesti,1.0,S. SECONDO/(PIAZZA)                                                   ,,2018-03-08,
437,Convivenza Civile,Rumori molesti,7.0,COMO/(VIA)                                                            ,,2018-08-08,11.17
438,Convivenza Civile,Rumori molesti,5.0,VITTORIA/(PIAZZA DELLA)                                               ,,2018-09-08,
439,Convivenza Civile,Rumori molesti,1.0,RE UMBERTO/(CORSO)                                                    ,,2018-09-08,11.37
440,Convivenza Civile,Rumori molesti,7.0,CASALE/(CORSO)                                                        ,,2018-10-08,
441,Convivenza Civile,Rumori molesti,8.0,S. ANSELMO/(VIA)                                                      ,,2018-10-08,13.54
442,Convivenza Civile,Rumori molesti,5.0,GROSSETO/(CORSO)                                                      ,,2018-08-13,
443,Convivenza Civile,Rumori molesti,1.0,PASTRENGO/(VIA)                                                       ,,2018-08-13,8.4
444,Convivenza Civile,Rumori molesti,9.0,GIORDANO/BRUNO (VIA)                                                  ,,2018-08-17,
445,Convivenza Civile,Rumori molesti,5.0,BORGARO/(VIA)                                                         ,,2018-08-20,
446,Convivenza Civile,Rumori molesti,2.0,BUENOS AIRES/(VIA)                                                    ,,2018-08-23,
447,Convivenza Civile,Rumori molesti,5.0,CHIESA DELLA SALUTE/(VIA)                                             ,,2018-08-24,
448,Convivenza Civile,Rumori molesti,1.0,TURATI/FILIPPO (CORSO)                                                ,,2018-08-27,
449,Convivenza Civile,Rumori molesti,1.0,VITTORIO VENETO/(PIAZZA)                                              ,,2018-08-28,
450,Convivenza Civile,Rumori molesti,3.0,BARGE/(VIA)                                                           ,,2018-08-29,
451,Convivenza Civile,Rumori molesti,1.0,QUATTRO MARZO/(LARGO)                                                 ,,2018-08-31,
452,Convivenza Civile,Rumori molesti,2.0,S. RITA DA CASCIA/(PIAZZA)                                            ,,2018-08-31,
453,Convivenza Civile,Rumori molesti,1.0,CAVOUR (VIA)                                                          ,,2018-04-09,
454,Convivenza Civile,Rumori molesti,1.0,ARQUATA/(VIA)                                                         ,,2018-05-09,
455,Convivenza Civile,Rumori molesti,2.0,DINA/GIACOMO (VIA)                                                    ,,2018-06-09,
456,Convivenza Civile,Rumori molesti,2.0,RUBINO/EDOARDO (VIA)                                                  ,,2018-11-09,
457,Convivenza Civile,Rumori molesti,3.0,ADAMELLO/(VIA)                                                        ,,2018-09-14,
458,Convivenza Civile,Rumori molesti,9.0,BIZZOZERO/GIULIO (VIA)                                                ,,2018-09-20,10.08
459,Convivenza Civile,Rumori molesti,3.0,CHANOUX/PIETRO ABATE (VIA)                                            ,,2018-09-21,
460,Convivenza Civile,Rumori molesti,4.0,REGINA MARGHERITA/(CORSO)                                             ,,2018-09-21,
461,Convivenza Civile,Rumori molesti,3.0,MONTE ALBERGIAN/(VIA)                                                 ,,2018-09-21,11.41
462,Convivenza Civile,Rumori molesti,8.0,GALLIARI/BERNARDINO (VIA)                                             ,,2018-09-23,
463,Convivenza Civile,Rumori molesti,3.0,CESANA/(VIA)                                                          ,,2018-04-10,
464,Convivenza Civile,Rumori molesti,1.0,GIOVANNI DA VERAZZANO/(VIA)                                           ,,2018-10-15,
465,Convivenza Civile,Rumori molesti,5.0,GANDINO/GIOVANNI BATTISTA (VIA)                                       ,,2018-10-17,
466,Convivenza Civile,Rumori molesti,9.0,FINALMARINA/(VIA)                                                     ,,2018-10-23,
467,Convivenza Civile,Rumori molesti,1.0,S. CHIARA/(VIA)                                                       ,,2018-10-29,
468,Convivenza Civile,Rumori molesti,7.0,VERONA/(CORSO)                                                        ,,2018-10-29,
469,Convivenza Civile,Rumori molesti,5.0,LUINI/BERNARDINO (VIA)                                                ,,2018-05-11,
470,Convivenza Civile,Rumori molesti,4.0,REGINA MARGHERITA/(CORSO)                                             ,,2018-05-11,15.07
471,Convivenza Civile,Rumori molesti,1.0,VIRGINIO/GIOVANNI (VIA)                                               ,,2018-09-11,
472,Convivenza Civile,Rumori molesti,1.0,CASTELLO/(PIAZZA)                                                     ,,2018-12-11,
473,Convivenza Civile,Rumori molesti,1.0,CASTELLO/(PIAZZA)                                                     ,,2018-12-11,
474,Convivenza Civile,Rumori molesti,3.0,S. PAOLO/(VIA)                                                        ,,2018-12-11,
475,Convivenza Civile,Rumori molesti,8.0,BERTHOLLET/CLAUDIO LUIGI (VIA)                                        ,,2018-12-11,
476,Convivenza Civile,Rumori molesti,1.0,LAGRANGE/GIUSEPPE LUIGI (VIA)                                         ,,2018-11-14,12.36
477,Convivenza Civile,Rumori molesti,1.0,BERTOLA/ANTONIO GIUSEPPE (VIA)                                        ,,2018-11-22,
478,Convivenza Civile,Rumori molesti,2.0,GAIDANO/PAOLO (VIA)                                                   ,,2018-11-23,
479,Convivenza Civile,Rumori molesti,7.0,CADORE/(CORSO)                                                        ,,2018-04-12,
480,Convivenza Civile,Rumori molesti,5.0,ALTESSANO/(STRADA DI)                                                 ,,2018-06-12,
481,Convivenza Civile,Rumori molesti,4.0,LIVORNO/(VIA)                                                         ,Area Verde,2018-11-12,
482,Convivenza Civile,Rumori molesti,7.0,GIULIO CESARE/(CORSO)                                                 ,,2018-11-12,
483,Convivenza Civile,Rumori molesti,7.0,BRIANZA/(CORSO)                                                       ,,2018-12-13,
484,Convivenza Civile,Rumori molesti,1.0,MERCANTI/(VIA)                                                        ,,2018-12-18,
485,Convivenza Civile,Rumori molesti,1.0,PIAVE/(VIA)                                                           ,,2018-12-21,
486,Convivenza Civile,Rumori molesti,2.0,TINTORETTO/(VIA)                                                      ,,2018-12-24,
425,Convivenza Civile,Disturbi da locali,4.0,REGINA MARGHERITA/(CORSO)                                             ,,2018-02-01,
426,Convivenza Civile,Disturbi da locali,6.0,PORPORA/NICOLA (VIA)                                                  ,,2018-02-01,
427,Convivenza Civile,Disturbi da locali,1.0,PESCATORE/MATTEO (VIA)                                                ,,2018-10-01,
428,Convivenza Civile,Disturbi da locali,1.0,S. DOMENICO/(VIA)                                                     ,,2018-10-01,
429,Convivenza Civile,Disturbi da locali,1.0,BONAFOUS/ALFONSO (VIA)                                                ,,2018-12-01,
430,Convivenza Civile,Disturbi da locali,1.0,MARIA VITTORIA/(VIA)                                                  ,,2018-12-01,11.46
431,Convivenza Civile,Disturbi da locali,1.0,MERCANTINI/LUIGI (VIA)                                                ,,2018-01-16,14.29
432,Convivenza Civile,Disturbi da locali,4.0,LECCE/(CORSO)                                                         ,Area Verde,2018-01-18,
433,Convivenza Civile,Disturbi da locali,3.0,SPALATO/(VIA)                                                         ,,2018-01-24,11.4
434,Convivenza Civile,Disturbi da locali,6.0,VALDENGO/(VIA)                                                        ,,2018-01-28,
435,Convivenza Civile,Disturbi da locali,1.0,MERCANTI/(VIA)                                                        ,,2018-01-29,
436,Convivenza Civile,Disturbi da locali,1.0,BARBAROUX/GIUSEPPE (VIA)                                              ,,2018-01-30,10.2
437,Convivenza Civile,Disturbi da locali,8.0,BERTHOLLET/CLAUDIO LUIGI (VIA)                                        ,,2018-01-02,
438,Convivenza Civile,Disturbi da locali,8.0,GALLIARI/BERNARDINO (VIA)                                             ,,2018-01-02,
439,Convivenza Civile,Disturbi da locali,8.0,GALLIARI/BERNARDINO (VIA)                                             ,,2018-01-02,
440,Convivenza Civile,Disturbi da locali,8.0,PRINCIPE TOMMASO/(VIA)                                                ,,2018-01-02,
441,Convivenza Civile,Disturbi da locali,1.0,DES AMBROIS/LUIGI (VIA)                                               ,,2018-01-02,11.55
442,Convivenza Civile,Disturbi da locali,1.0,DES AMBROIS/LUIGI (VIA)                                               ,,2018-01-02,12.03
443,Convivenza Civile,Disturbi da locali,3.0,REVELLO/(VIA)                                                         ,,2018-05-02,
444,Convivenza Civile,Disturbi da locali,8.0,BERTHOLLET/CLAUDIO LUIGI (VIA)                                        ,,2018-05-02,11.35
445,Convivenza Civile,Disturbi da locali,5.0,FOLIGNO/(VIA)                                                         ,,2018-07-02,
446,Convivenza Civile,Disturbi da locali,1.0,PRINCIPE AMEDEO/(VIA)                                                 ,,2018-08-02,
447,Convivenza Civile,Disturbi da locali,8.0,THOVEZ/ENRICO (VIALE)                                                 ,,2018-02-14,
448,Convivenza Civile,Disturbi da locali,5.0,LOMBARDIA/(CORSO)                                                     ,,2018-02-15,
449,Convivenza Civile,Disturbi da locali,1.0,PESCATORE/MATTEO (VIA)                                                ,,2018-02-20,
450,Convivenza Civile,Disturbi da locali,1.0,ORFANE/(VIA DELLE)                                                    ,,2018-02-23,11.07
451,Convivenza Civile,Disturbi da locali,7.0,BALBO/CESARE (VIA)                                                    ,,2018-05-03,8.46
452,Convivenza Civile,Disturbi da locali,7.0,VERCELLI/(CORSO)                                                      ,,2018-03-13,8.04
453,Convivenza Civile,Disturbi da locali,6.0,NOVARA/(CORSO)                                                        ,,2018-03-15,7.18
454,Convivenza Civile,Disturbi da locali,7.0,BORGO DORA/(VIA)                                                      ,,2018-03-15,11.36
455,Convivenza Civile,Disturbi da locali,2.0,BASILICATA/(PIAZZA)                                                   ,,2018-03-19,
456,Convivenza Civile,Disturbi da locali,8.0,FOSCOLO/UGO (VIA)                                                     ,,2018-03-22,9.35
457,Convivenza Civile,Disturbi da locali,8.0,GRAN MADRE DI DIO/(PIAZZA)                                            ,,2018-03-24,
458,Convivenza Civile,Disturbi da locali,8.0,MONCALIERI/(CORSO)                                                    ,,2018-03-24,
459,Convivenza Civile,Disturbi da locali,8.0,MONCALIERI/(CORSO)                                                    ,,2018-03-24,
460,Convivenza Civile,Disturbi da locali,8.0,MONCALIERI/(CORSO)                                                    ,,2018-03-24,
461,Convivenza Civile,Disturbi da locali,8.0,MONCALIERI/(CORSO)                                                    ,,2018-03-24,
462,Convivenza Civile,Disturbi da locali,1.0,PESCATORE/MATTEO (VIA)                                                ,,2018-03-26,10.5
463,Convivenza Civile,Disturbi da locali,4.0,VALGIOIE/(VIA)                                                        ,,2018-03-27,11.45
464,Convivenza Civile,Disturbi da locali,8.0,NIZZA/(VIA)                                                           ,,2018-03-27,15.08
465,Convivenza Civile,Disturbi da locali,3.0,STELVIO/(VIA)                                                         ,,2018-03-29,
466,Convivenza Civile,Disturbi da locali,5.0,LUINI/BERNARDINO (VIA)                                                ,,2018-03-29,10.53
467,Convivenza Civile,Disturbi da locali,7.0,BELGIO/(CORSO)                                                        ,,2018-03-30,
468,Convivenza Civile,Disturbi da locali,7.0,FONTANESI/ANTONIO (VIA)                                               ,,2018-02-04,
469,Convivenza Civile,Disturbi da locali,3.0,FRANCIA/(CORSO)                                                       ,,2018-03-04,
470,Convivenza Civile,Disturbi da locali,7.0,NAPOLI/(LUNGO DORA)                                                   ,,2018-03-04,
471,Convivenza Civile,Disturbi da locali,7.0,S. MAURIZIO/(CORSO)                                                   ,,2018-03-04,
472,Convivenza Civile,Disturbi da locali,8.0,BERTHOLLET/CLAUDIO LUIGI (VIA)                                        ,,2018-03-04,10.47
473,Convivenza Civile,Disturbi da locali,7.0,VIGEVANO/(CORSO)                                                      ,,2018-06-04,12.28
474,Convivenza Civile,Disturbi da locali,3.0,VIRLE/(VIA)                                                           ,,2018-04-14,
475,Convivenza Civile,Disturbi da locali,1.0,SACCHI/PAOLO (VIA)                                                    ,,2018-04-19,
476,Convivenza Civile,Disturbi da locali,1.0,SOMMEILLER/GERMANO (CORSO)                                            ,,2018-04-19,
477,Convivenza Civile,Disturbi da locali,3.0,FATTORI/GIOVANNI (VIA)                                                ,,2018-04-20,
478,Convivenza Civile,Disturbi da locali,6.0,CENA/GIOVANNI (VIA)                                                   ,,2018-04-20,11.41
479,Convivenza Civile,Disturbi da locali,10.0,LOANO/(VIA)                                                           ,,2018-04-21,
480,Convivenza Civile,Disturbi da locali,10.0,FLEMING/ALESSANDRO (VIA)                                              ,,2018-04-22,
481,Convivenza Civile,Disturbi da locali,5.0,FOLIGNO/(VIA)                                                         ,,2018-04-24,
482,Convivenza Civile,Disturbi da locali,1.0,SOLFERINO/(PIAZZA)                                                    ,,2018-04-25,
483,Convivenza Civile,Disturbi da locali,6.0,GIULIO CESARE/(CORSO)                                                 ,,2018-04-26,
484,Convivenza Civile,Disturbi da locali,1.0,S. DOMENICO/(VIA)                                                     ,,2018-04-26,14.32
485,Convivenza Civile,Disturbi da locali,7.0,NIETZSCHE/FEDERICO (VIA)                                              ,,2018-04-27,
486,Convivenza Civile,Disturbi da locali,3.0,FREJUS/(VIA)                                                          ,,2018-04-27,11.23
487,Convivenza Civile,Disturbi da locali,1.0,MERCANTINI/LUIGI (VIA)                                                ,,2018-04-30,
488,Convivenza Civile,Disturbi da locali,3.0,BARGE/(VIA)                                                           ,,2018-02-05,
489,Convivenza Civile,Disturbi da locali,1.0,PO/(VIA)                                                              ,,2018-03-05,11.09
490,Convivenza Civile,Disturbi da locali,1.0,ORFANE/(VIA DELLE)                                                    ,,2018-04-05,
491,Convivenza Civile,Disturbi da locali,3.0,TRECATE/(VIA)                                                         ,,2018-04-05,
492,Convivenza Civile,Disturbi da locali,6.0,BORGO TICINO/(VIA)                                                    ,,2018-07-05,
493,Convivenza Civile,Disturbi da locali,7.0,BRA/(VIA)                                                             ,,2018-07-05,
494,Convivenza Civile,Disturbi da locali,1.0,VERDI/GIUSEPPE (VIA)                                                  ,,2018-09-05,
495,Convivenza Civile,Disturbi da locali,7.0,BALBO/CESARE (VIA)                                                    ,,2018-09-05,
496,Convivenza Civile,Disturbi da locali,9.0,GALIMBERTI/TANCREDI (PIAZZA)                                          ,,2018-10-05,
497,Convivenza Civile,Disturbi da locali,1.0,MONTEBELLO/(VIA)                                                      ,,2018-10-05,9.11
498,Convivenza Civile,Disturbi da locali,1.0,CARIGNANO/(PIAZZA)                                                    ,,2018-10-05,12.59
499,Convivenza Civile,Disturbi da locali,5.0,FOLIGNO/(VIA)                                                         ,,2018-05-14,9.04
500,Convivenza Civile,Disturbi da locali,6.0,FELETTO/(VIA)                                                         ,,2018-05-16,9.13
501,Convivenza Civile,Disturbi da locali,6.0,BRANDIZZO/(VIA)                                                       ,,2018-05-16,9.25
502,Convivenza Civile,Disturbi da locali,4.0,FABRIZI/NICOLA (VIA)                                                  ,,2018-05-19,
503,Convivenza Civile,Disturbi da locali,4.0,RISORGIMENTO/(PIAZZA)                                                 ,,2018-05-19,
504,Convivenza Civile,Disturbi da locali,8.0,S. ANSELMO/(VIA)                                                      ,,2018-05-19,
505,Convivenza Civile,Disturbi da locali,1.0,AMENDOLA/GIOVANNI (VIA)                                               ,,2018-05-21,
506,Convivenza Civile,Disturbi da locali,3.0,VIRLE/(VIA)                                                           ,,2018-05-21,
507,Convivenza Civile,Disturbi da locali,8.0,MONCALIERI/(CORSO)                                                    ,,2018-05-21,12.24
508,Convivenza Civile,Disturbi da locali,1.0,CASTELLO/(PIAZZA)                                                     ,,2018-05-22,12.15
509,Convivenza Civile,Disturbi da locali,1.0,LOVERA DI MARIA/ANNIBALE (VIA)                                        ,,2018-05-24,
510,Convivenza Civile,Disturbi da locali,,,,2018-05-24,10.09
511,Convivenza Civile,Disturbi da locali,1.0,VERDI/GIUSEPPE (VIA)                                                  ,,2018-05-29,
512,Convivenza Civile,Disturbi da locali,9.0,CROCE/BENEDETTO (CORSO)                                               ,,2018-05-29,
513,Convivenza Civile,Disturbi da locali,6.0,AGLIE'/(VIA)                                                          ,,2018-05-31,12.48
