,Ora,C1,C2,C3,C4,C5,date_hour,day,Log_Avg,No. of Visitors,index,cluster,data_a,numero_presenze,layer_id,layer_nome,dettaglio(secondi),temp,winds,rainfall_mm,snowfall_mm,is_match,count_close,count_open,final_date,count_complaint,date,Day,Holiday,isHoliday
11,11,59.4,60.8,66.1,62.5,60.7,2018-01-01 11:00:00,0,62.600813035113525,,,,,,,,,2.7700000000000387,0.78,-0.013,4.666666666666667,0.0,,6.0,01-01-18 11:00,0.0,01-01-18,,,0
12,12,58.9,60.9,63.8,62.5,62.0,2018-01-01 12:00:00,0,61.91368362594175,,,,,,,,,3.82000000000005,1.0499999999999998,-0.008,6.333333333333332,0.0,,72.0,01-01-18 12:00,0.0,01-01-18,,,0
13,13,58.5,60.5,60.7,61.7,61.4,2018-01-01 13:00:00,0,60.69250207205337,,,,,,,,,4.129999999999996,1.4700000000000002,-0.009000000000000001,6.166666666666668,0.0,,,01-01-18 13:00,0.0,01-01-18,,,0
14,14,57.7,61.0,61.5,61.8,59.6,2018-01-01 14:00:00,0,60.55827586039217,,,,,,,,,4.830000000000041,1.5699999999999998,-0.009000000000000001,5.366666666666667,0.0,24.0,,01-01-18 14:00,0.0,01-01-18,,,0
15,15,57.5,61.0,61.7,62.2,61.0,2018-01-01 15:00:00,0,60.94742692254784,,,,,,,,,4.5200000000000395,1.02,-0.01,4.566666666666666,0.0,48.0,,01-01-18 15:00,0.0,01-01-18,,,0
16,16,64.2,61.1,60.9,62.4,62.2,2018-01-01 16:00:00,0,62.328017290363526,,,,,,,,,3.240000000000009,0.85,-0.009000000000000001,3.8333333333333335,0.0,,,01-01-18 16:00,0.0,01-01-18,,,0
17,17,60.4,60.4,61.1,61.7,62.4,2018-01-01 17:00:00,0,61.26982605770216,,,,,,,,,2.950000000000045,0.99,-0.011000000000000001,4.066666666666666,0.0,,6.0,01-01-18 17:00,0.0,01-01-18,,,0
18,18,60.7,60.9,64.0,62.2,61.7,2018-01-01 18:00:00,0,62.071358706672726,,,,,,,,,2.2200000000000277,1.4899999999999998,-0.015000000000000003,4.133333333333334,0.0,6.0,18.0,01-01-18 18:00,0.0,01-01-18,,,0
19,19,60.0,60.6,61.2,62.1,62.2,2018-01-01 19:00:00,0,61.30192671599903,,,,,,,,,2.010000000000048,1.3099999999999998,-0.019,3.733333333333333,0.0,6.0,84.0,01-01-18 19:00,0.0,01-01-18,,,0
20,20,59.4,59.1,59.4,61.5,60.8,2018-01-01 20:00:00,0,60.144835486758616,,,,,,,,,1.7100000000000364,1.5599999999999996,-0.015,3.4333333333333336,0.0,,6.0,01-01-18 20:00,0.0,01-01-18,,,0
21,21,57.8,57.8,57.9,60.3,59.6,2018-01-01 21:00:00,0,58.81412541873077,,,,,,,,,1.2000000000000457,1.09,-0.016,3.1,0.0,6.0,,01-01-18 21:00,0.0,01-01-18,,,0
22,22,58.2,57.4,57.7,59.5,59.0,2018-01-01 22:00:00,0,58.431900506507915,,,,,,,,,0.8400000000000318,0.8500000000000002,-0.016999999999999998,3.033333333333333,0.0,6.0,6.0,01-01-18 22:00,0.0,01-01-18,,,0
23,23,56.5,57.9,57.5,59.3,59.0,2018-01-01 23:00:00,0,58.15721983467664,,,,,,,,,1.910000000000025,0.8200000000000001,-0.019,3.1333333333333333,0.0,66.0,,01-01-18 23:00,0.0,01-01-18,,,0
24,0,55.5,57.9,56.2,60.2,56.4,2018-01-02 00:00:00,3,57.592026595857526,,,,,,,,,4.5,,,,0.0,60.0,,01-02-18 00:00,0.0,02-01-18,,,0
25,1,59.2,55.2,54.7,57.4,52.7,2018-01-02 01:00:00,3,56.42220178735218,,,,,,,,,4.270000000000039,,,,0.0,12.0,,01-02-18 01:00,0.0,02-01-18,,,0
26,2,46.8,52.5,51.0,54.9,51.9,2018-01-02 02:00:00,3,52.124511366834305,,,,,,,,,4.300000000000011,,,,0.0,12.0,,01-02-18 02:00,0.0,02-01-18,,,0
27,3,47.2,48.4,51.1,50.6,48.7,2018-01-02 03:00:00,3,49.439248226023516,,,,,,,,,3.6899999999999977,,,,0.0,6.0,,01-02-18 03:00,0.0,02-01-18,,,0
28,4,47.5,47.9,51.3,49.6,51.0,2018-01-02 04:00:00,3,49.730202332554526,,,,,,,,,3.770000000000039,,,,0.0,6.0,,01-02-18 04:00,0.0,02-01-18,,,0
29,5,47.9,49.0,50.9,50.8,56.1,2018-01-02 05:00:00,3,51.99604860130943,,,,,,,,,3.7300000000000177,,,,0.0,,,01-02-18 05:00,0.0,02-01-18,,,0
30,6,58.9,53.0,55.3,56.0,58.7,2018-01-02 06:00:00,3,56.90910733260353,,,,,,,,,3.650000000000034,,,,0.0,,6.0,01-02-18 06:00,0.0,02-01-18,,,0
31,7,65.5,59.9,66.2,61.6,62.2,2018-01-02 07:00:00,3,63.72878569332519,,,,,,,,,2.8700000000000045,,,,0.0,,30.0,01-02-18 07:00,0.0,02-01-18,,,0
32,8,65.2,61.4,64.6,64.3,63.8,2018-01-02 08:00:00,3,64.03672726625379,,,,,,,,,2.8900000000000428,,,,0.0,,12.0,01-02-18 08:00,0.0,02-01-18,,,0
33,9,67.8,61.0,63.3,63.5,63.3,2018-01-02 09:00:00,3,64.40882853351746,,,,,,,,,3.920000000000016,,,,0.0,,,01-02-18 09:00,0.0,02-01-18,,,0
34,10,59.7,61.0,64.0,63.5,65.0,2018-01-02 10:00:00,3,63.05569104631119,,,,,,,,,4.420000000000017,,,,0.0,,,01-02-18 10:00,1.0,02-01-18,,,0
35,11,61.9,61.6,66.3,63.2,64.7,2018-01-02 11:00:00,3,63.90954771201435,,,,,,,,,4.980000000000018,,,,0.0,,6.0,01-02-18 11:00,2.0,02-01-18,,,0
36,12,60.7,61.3,63.3,63.2,64.4,2018-01-02 12:00:00,3,62.789979879130016,,,,,,,,,5.360000000000014,,,,0.0,,90.0,01-02-18 12:00,1.0,02-01-18,,,0
37,13,60.9,60.7,61.1,62.0,62.5,2018-01-02 13:00:00,3,61.49624787024686,,,,,,,,,5.680000000000009,,,,0.0,,,01-02-18 13:00,0.0,02-01-18,,,0
38,14,59.1,61.7,62.2,62.4,63.0,2018-01-02 14:00:00,3,61.866506379437844,,,,,,,,,5.840000000000032,,,,0.0,36.0,,01-02-18 14:00,0.0,02-01-18,,,0
39,15,60.8,61.3,61.4,62.7,63.6,2018-01-02 15:00:00,3,62.0868672644605,,,,,,,,,6.28000000000003,,,,0.0,54.0,,01-02-18 15:00,0.0,02-01-18,,,0
40,16,60.5,62.0,61.6,63.4,63.8,2018-01-02 16:00:00,3,62.42489049447889,,,,,,,,,5.7100000000000355,,,,0.0,,,01-02-18 16:00,0.0,02-01-18,,,0
41,17,60.4,61.7,60.3,63.3,63.8,2018-01-02 17:00:00,3,62.13990357364955,,,,,,,,,4.910000000000026,,,,0.0,,12.0,01-02-18 17:00,0.0,02-01-18,,,0
42,18,60.0,61.2,64.7,62.9,62.7,2018-01-02 18:00:00,3,62.591826908146466,,,,,,,,,4.439999999999999,,,,0.0,6.0,24.0,01-02-18 18:00,0.0,02-01-18,,,0
43,19,62.0,61.0,62.4,62.6,63.0,2018-01-02 19:00:00,3,62.2513256064414,,,,,,,,,3.990000000000009,,,,0.0,6.0,108.0,01-02-18 19:00,0.0,02-01-18,,,0
44,20,59.9,59.8,61.1,62.5,61.3,2018-01-02 20:00:00,3,61.03647870275711,,,,,,,,,4.160000000000025,,,,0.0,,12.0,01-02-18 20:00,0.0,02-01-18,,,0
45,21,58.5,58.6,67.1,61.4,61.6,2018-01-02 21:00:00,3,62.73548468061398,,,,,,,,,3.5300000000000296,,,,0.0,6.0,,01-02-18 21:00,0.0,02-01-18,,,0
46,22,56.5,58.8,59.8,61.5,59.9,2018-01-02 22:00:00,3,59.590441144112106,,,,,,,,,3.07000000000005,,,,0.0,18.0,6.0,01-02-18 22:00,0.0,02-01-18,,,0
47,23,57.1,59.0,58.7,61.4,59.8,2018-01-02 23:00:00,3,59.42888327490373,,,,,,,,,3.150000000000034,,,,0.0,78.0,,01-02-18 23:00,0.0,02-01-18,,,0
48,0,56.0,57.9,59.9,60.2,58.3,2018-01-03 00:00:00,3,58.71006456023874,,,,,,,,,-5.349999999999966,,0.005,-3.5,0.0,60.0,,01-03-18 00:00,0.0,03-01-18,,,0
49,1,54.1,55.2,56.7,57.4,56.6,2018-01-03 01:00:00,3,56.154313025643944,,,,,,,,,-5.389999999999987,,0.009000000000000001,-3.6,0.0,12.0,,01-03-18 01:00,0.0,03-01-18,,,0
50,2,52.2,52.5,58.9,54.9,63.1,2018-01-03 02:00:00,3,58.414597391392,,,,,,,,,-5.3700000000000045,,0.011000000000000001,-3.5666666666666664,0.0,12.0,,01-03-18 02:00,0.0,03-01-18,,,0
51,3,47.0,48.4,46.6,50.6,61.3,2018-01-03 03:00:00,3,55.128947924419904,,,,,,,,,-5.3700000000000045,,0.013,-3.6666666666666665,0.0,6.0,,01-03-18 03:00,0.0,03-01-18,,,0
52,4,35.0,47.9,46.5,49.6,58.1,2018-01-03 04:00:00,3,52.285776594362616,,,,,,,,,-5.489999999999952,,0.012,-3.9,0.0,6.0,,01-03-18 04:00,0.0,03-01-18,,,0
53,5,47.6,49.0,46.0,50.8,53.8,2018-01-03 05:00:00,3,50.30921191041391,,,,,,,,,-5.589999999999975,,0.012,-3.8,0.0,,,01-03-18 05:00,0.0,03-01-18,,,0
54,6,54.8,53.0,49.3,56.0,60.9,2018-01-03 06:00:00,3,56.46405912144868,,,,,,,,,-5.669999999999959,,0.015000000000000003,-3.8,0.0,,6.0,01-03-18 06:00,0.0,03-01-18,,,0
55,7,63.3,59.9,66.2,61.6,65.0,2018-01-03 07:00:00,3,63.76270674246777,,,,,,,,,-5.359999999999957,,0.015000000000000003,-3.733333333333333,0.0,,30.0,01-03-18 07:00,0.0,03-01-18,,,0
56,8,63.0,61.4,64.6,64.3,64.1,2018-01-03 08:00:00,3,63.62543116024294,,,,,,,,,-4.939999999999999,,0.012,-2.8666666666666667,0.0,,12.0,01-03-18 08:00,0.0,03-01-18,,,0
57,9,64.3,61.0,63.3,63.5,65.0,2018-01-03 09:00:00,3,63.61328142917162,,,,,,,,,-3.2999999999999545,,0.009000000000000001,-1.3,0.0,,,01-03-18 09:00,0.0,03-01-18,,,0
58,10,62.5,61.0,64.0,63.5,64.2,2018-01-03 10:00:00,3,63.188176997021905,,,,,,,,,-3.42999999999995,,0.192,0.2333333333333333,0.0,,,01-03-18 10:00,0.0,03-01-18,,,0
59,11,63.1,61.6,66.3,63.2,63.6,2018-01-03 11:00:00,3,63.85003085877461,,,,,,,,,-1.7799999999999727,,0.206,1.2666666666666668,0.0,,6.0,01-03-18 11:00,0.0,03-01-18,,,0
60,12,61.5,61.3,63.3,63.2,64.1,2018-01-03 12:00:00,3,62.814494734548404,,,,,,,,,-2.2099999999999795,,0.002,1.3,0.0,,90.0,01-03-18 12:00,0.0,03-01-18,,,0
61,13,60.9,60.7,61.1,62.0,64.8,2018-01-03 13:00:00,3,62.2001707498943,,,,,,,,,-1.9399999999999975,,0.006999999999999999,1.4666666666666668,0.0,,,01-03-18 13:00,0.0,03-01-18,,,0
62,14,60.8,61.7,62.2,62.4,64.3,2018-01-03 14:00:00,3,62.440442152919815,,,,,,,,,-1.6399999999999864,,0.003,2.4,0.0,36.0,,01-03-18 14:00,0.0,03-01-18,,,0
63,15,61.4,61.3,61.4,62.7,64.1,2018-01-03 15:00:00,3,62.3260045969957,,,,,,,,,-1.8199999999999927,,0.003,1.2333333333333334,0.0,54.0,,01-03-18 15:00,0.0,03-01-18,,,0
64,16,61.5,62.0,61.6,63.4,63.3,2018-01-03 16:00:00,3,62.43959968633565,,,,,,,,,-1.7199999999999704,,0.005,0.13333333333333333,0.0,,,01-03-18 16:00,0.0,03-01-18,,,0
65,17,61.8,61.7,60.3,63.3,64.0,2018-01-03 17:00:00,3,62.41249418359851,,,,,,,,,-1.9799999999999611,,-0.005,-0.3333333333333333,0.0,,12.0,01-03-18 17:00,0.0,03-01-18,,,0
66,18,61.6,61.2,64.7,62.9,63.5,2018-01-03 18:00:00,3,62.96817450651618,,,,,,,,,-2.539999999999964,,-0.002,-0.6,0.0,6.0,24.0,01-03-18 18:00,0.0,03-01-18,,,0
67,19,61.6,61.0,62.4,62.6,63.9,2018-01-03 19:00:00,3,62.41375906114159,,,,,,,,,-2.8899999999999864,,0.0,-0.8666666666666667,0.0,6.0,108.0,01-03-18 19:00,0.0,03-01-18,,,0
68,20,61.0,59.8,61.1,62.5,61.9,2018-01-03 20:00:00,3,61.35403870494223,,,,,,,,,-2.9099999999999686,,0.001,-0.8333333333333334,0.0,,12.0,01-03-18 20:00,0.0,03-01-18,,,0
69,21,59.8,58.6,57.0,61.4,60.2,2018-01-03 21:00:00,3,59.64554585475996,,,,,,,,,-2.4499999999999886,,0.003,-0.8000000000000002,0.0,6.0,,01-03-18 21:00,0.0,03-01-18,,,0
70,22,60.4,58.8,59.2,61.5,59.4,2018-01-03 22:00:00,3,59.974144052615664,,,,,,,,,-2.5499999999999545,,0.004,-1.4666666666666668,0.0,18.0,6.0,01-03-18 22:00,0.0,03-01-18,,,0
71,23,62.1,59.0,59.7,61.4,59.6,2018-01-03 23:00:00,3,60.52446738161517,,,,,,,,,-2.6299999999999955,,0.005,-1.1666666666666667,0.0,78.0,,01-03-18 23:00,0.0,03-01-18,,,0
72,0,68.0,61.2,58.7,64.1,61.0,2018-01-04 00:00:00,6,63.87335059747775,,,,,,,,,5.0,,0.0,6.4,0.0,72.0,,01-04-18 00:00,0.0,04-01-18,,,0
73,1,65.1,59.3,56.1,62.4,54.4,2018-01-04 01:00:00,6,61.14456090562687,,,,,,,,,4.050000000000011,,0.0,6.2,0.0,12.0,,01-04-18 01:00,0.0,04-01-18,,,0
74,2,63.6,56.9,53.0,60.3,53.4,2018-01-04 02:00:00,6,59.31505484986815,,,,,,,,,4.050000000000011,,0.0,6.366666666666667,0.0,6.0,,01-04-18 02:00,0.0,04-01-18,,,0
75,3,59.1,54.1,47.3,57.2,51.0,2018-01-04 03:00:00,6,55.50050506821796,,,,,,,,,4.080000000000041,,0.002,5.3,0.0,18.0,,01-04-18 03:00,0.0,04-01-18,,,0
76,4,47.0,50.8,47.6,52.2,52.2,2018-01-04 04:00:00,6,50.49067965102708,,,,,,,,,3.850000000000023,,0.0,4.733333333333333,0.0,12.0,,01-04-18 04:00,0.0,04-01-18,,,0
77,5,42.3,50.6,47.1,52.2,54.1,2018-01-04 05:00:00,6,50.835615294535835,,,,,,,,,2.8100000000000023,,0.001,5.333333333333333,0.0,,,01-04-18 05:00,0.0,04-01-18,,,0
78,6,59.5,51.2,52.8,53.7,59.5,2018-01-04 06:00:00,6,56.701152673456285,,,,,,,,,3.1200000000000045,,-0.002,8.566666666666666,0.0,,6.0,01-04-18 06:00,0.0,04-01-18,,,0
79,7,64.0,54.0,67.8,57.6,61.9,2018-01-04 07:00:00,6,63.389712653104695,,,,,,,,,7.400000000000035,,0.001,8.1,0.0,,18.0,01-04-18 07:00,0.0,04-01-18,,,0
80,8,63.0,57.2,65.9,62.7,64.2,2018-01-04 08:00:00,6,63.385710825730925,,,,,,,,,11.710000000000036,,-0.004,7.666666666666668,0.0,,18.0,01-04-18 08:00,0.0,04-01-18,,,0
81,9,65.9,58.4,64.6,61.1,63.4,2018-01-04 09:00:00,6,63.40139609311283,,,,,,,,,13.900000000000036,,-0.007000000000000001,11.866666666666667,0.0,,,01-04-18 09:00,0.0,04-01-18,,,0
82,10,58.7,58.6,65.0,59.8,64.5,2018-01-04 10:00:00,6,62.25381625998115,,,,,,,,,15.640000000000045,,-0.009000000000000001,16.066666666666666,0.0,,6.0,01-04-18 10:00,0.0,04-01-18,,,0
83,11,60.6,59.1,65.2,60.8,64.9,2018-01-04 11:00:00,6,62.81708396290034,,,,,,,,,16.650000000000034,,-0.009000000000000001,17.666666666666668,0.0,,6.0,01-04-18 11:00,0.0,04-01-18,,,0
84,12,60.9,59.3,65.3,61.0,63.9,2018-01-04 12:00:00,6,62.640374077626284,,,,,,,,,16.99000000000001,,-0.009000000000000001,18.5,0.0,,84.0,01-04-18 12:00,0.0,04-01-18,,,0
85,13,59.8,58.8,61.1,60.8,64.6,2018-01-04 13:00:00,6,61.51560790598127,,,,,,,,,17.640000000000047,,-0.011000000000000001,18.733333333333334,0.0,6.0,,01-04-18 13:00,0.0,04-01-18,,,0
86,14,59.4,58.7,60.7,60.5,64.4,2018-01-04 14:00:00,6,61.24727088771507,,,,,,,,,18.0,,-0.009000000000000001,19.566666666666666,0.0,18.0,,01-04-18 14:00,0.0,04-01-18,,,0
87,15,59.5,58.9,60.1,60.5,64.0,2018-01-04 15:00:00,6,61.02069646799172,,,,,,,,,18.27000000000004,,-0.006,19.933333333333334,0.0,60.0,,01-04-18 15:00,0.0,04-01-18,,,0
88,16,60.7,59.1,59.3,60.4,66.8,2018-01-04 16:00:00,6,62.4162841251616,,,,,,,,,17.80000000000001,,-0.008,20.066666666666666,0.0,,12.0,01-04-18 16:00,0.0,04-01-18,,,0
89,17,61.6,59.6,58.9,61.3,64.0,2018-01-04 17:00:00,6,61.45789590969774,,,,,,,,,17.140000000000047,,-0.006,19.766666666666673,0.0,,,01-04-18 17:00,0.0,04-01-18,,,0
90,18,59.7,59.5,64.5,61.1,63.5,2018-01-04 18:00:00,6,62.1324454954593,,,,,,,,,14.090000000000034,,-0.007000000000000001,18.466666666666665,0.0,6.0,24.0,01-04-18 18:00,0.0,04-01-18,,,0
91,19,60.9,59.9,61.2,62.1,63.7,2018-01-04 19:00:00,6,61.756162659035596,,,,,,,,,11.920000000000016,,-0.007000000000000001,17.099999999999998,0.0,,96.0,01-04-18 19:00,0.0,04-01-18,,,0
92,20,59.6,59.3,59.7,61.9,62.6,2018-01-04 20:00:00,6,60.83855119260659,,,,,,,,,10.930000000000007,,-0.007000000000000001,15.733333333333334,0.0,,,01-04-18 20:00,0.0,04-01-18,,,0
93,21,58.2,58.2,58.8,60.9,60.1,2018-01-04 21:00:00,6,59.37871425687356,,,,,,,,,9.070000000000052,,-0.006,12.766666666666666,0.0,6.0,,01-04-18 21:00,0.0,04-01-18,,,0
94,22,58.2,58.0,66.2,60.1,60.5,2018-01-04 22:00:00,6,61.82166678475112,,,,,,,,,8.810000000000002,,-0.003,10.6,0.0,6.0,,01-04-18 22:00,0.0,04-01-18,,,0
95,23,58.2,58.0,64.5,59.9,61.7,2018-01-04 23:00:00,6,61.183559635206564,,,,,,,,,7.060000000000002,,-0.003,9.066666666666666,0.0,78.0,,01-04-18 23:00,0.0,04-01-18,,,0
96,0,57.9,57.0,60.1,58.9,58.2,2018-01-05 00:00:00,1,58.54672248759382,,,,,,,,,12.260000000000048,,-0.03,14.5,0.0,48.0,,01-05-18 00:00,0.0,05-01-18,,,0
97,1,58.2,54.8,58.7,56.9,56.8,2018-01-05 01:00:00,1,57.27932721948527,,,,,,,,,11.340000000000034,,-0.02666666666666667,13.733333333333334,0.0,6.0,,01-05-18 01:00,0.0,05-01-18,,,0
98,2,56.0,52.5,58.9,54.6,53.2,2018-01-05 02:00:00,1,55.680878515835104,,,,,,,,,10.970000000000026,,-0.02333333333333333,13.266666666666666,0.0,6.0,,01-05-18 02:00,0.0,05-01-18,,,0
99,3,49.5,48.6,52.8,49.4,55.2,2018-01-05 03:00:00,1,51.877137089294855,,,,,,,,,10.210000000000036,,-0.02,12.733333333333334,0.0,6.0,,01-05-18 03:00,0.0,05-01-18,,,0
100,4,48.5,47.4,51.8,49.0,53.7,2018-01-05 04:00:00,1,50.72588445944575,,,,,,,,,10.260000000000046,,-0.02,11.866666666666667,0.0,6.0,,01-05-18 04:00,0.0,05-01-18,,,0
101,5,50.7,49.3,52.1,50.8,55.1,2018-01-05 05:00:00,1,52.08766240584963,,,,,,,,,10.120000000000003,,-0.016666666666666666,11.566666666666668,0.0,,,01-05-18 05:00,0.0,05-01-18,,,0
102,6,59.1,52.8,51.2,54.9,59.0,2018-01-05 06:00:00,1,56.509987426302864,,,,,,,,,10.520000000000039,,-0.016666666666666666,11.066666666666668,0.0,,6.0,01-05-18 06:00,0.0,05-01-18,,,0
103,7,62.0,59.4,64.1,62.7,62.7,2018-01-05 07:00:00,1,62.43059233725046,,,,,,,,,12.850000000000026,,-0.02,10.8,0.0,,30.0,01-05-18 07:00,0.0,05-01-18,,,0
104,8,62.5,61.2,63.6,64.0,64.5,2018-01-05 08:00:00,1,63.311305047462724,,,,,,,,,13.640000000000045,,-0.01,12.3,0.0,,12.0,01-05-18 08:00,0.0,05-01-18,,,0
105,9,69.4,61.2,61.8,63.3,64.5,2018-01-05 09:00:00,1,65.18456001322099,,,,,,,,,14.32000000000005,,-0.03666666666666667,15.0,0.0,,,01-05-18 09:00,0.0,05-01-18,,,0
106,10,60.4,60.2,63.6,62.7,64.0,2018-01-05 10:00:00,1,62.45929388802837,,,,,,,,,15.300000000000011,,-0.013333333333333334,16.099999999999998,0.0,,,01-05-18 10:00,0.0,05-01-18,,,0
107,11,62.5,61.0,64.6,62.8,64.6,2018-01-05 11:00:00,1,63.30849008304237,,,,,,,,,15.640000000000045,,-0.006666666666666667,17.033333333333335,0.0,,6.0,01-05-18 11:00,0.0,05-01-18,,,0
108,12,61.2,61.3,63.5,63.2,64.8,2018-01-05 12:00:00,1,63.016891282185135,,,,,,,,,15.960000000000036,,-0.0033333333333333327,17.933333333333334,0.0,,84.0,01-05-18 12:00,0.0,05-01-18,,,0
109,13,61.4,60.5,59.9,62.2,63.7,2018-01-05 13:00:00,1,61.751321855931224,,,,,,,,,15.280000000000028,,-0.03666666666666667,17.833333333333332,0.0,,,01-05-18 13:00,0.0,05-01-18,,,0
110,14,63.0,60.9,61.4,61.9,64.5,2018-01-05 14:00:00,1,62.53973224582928,,,,,,,,,15.430000000000007,,-0.02,16.133333333333336,0.0,36.0,,01-05-18 14:00,0.0,05-01-18,,,0
111,15,60.8,60.4,60.5,62.1,66.1,2018-01-05 15:00:00,1,62.60852127621447,,,,,,,,,14.580000000000037,,-0.05000000000000001,14.233333333333334,0.0,48.0,,01-05-18 15:00,0.0,05-01-18,,,0
112,16,62.1,61.0,61.2,62.1,66.8,2018-01-05 16:00:00,1,63.26626792726485,,,,,,,,,12.82000000000005,,-0.03,13.233333333333334,0.0,,,01-05-18 16:00,0.0,05-01-18,,,0
113,17,62.0,60.8,60.2,62.5,66.6,2018-01-05 17:00:00,1,63.089248236304165,,,,,,,,,12.120000000000005,,-0.02666666666666667,14.766666666666666,0.0,,12.0,01-05-18 17:00,0.0,05-01-18,,,0
114,18,61.5,60.8,63.5,62.4,66.1,2018-01-05 18:00:00,1,63.289960158307785,,,,,,,,,10.740000000000007,,-0.01,13.766666666666666,0.0,12.0,24.0,01-05-18 18:00,0.0,05-01-18,,,0
115,19,61.9,60.5,61.5,62.7,66.2,2018-01-05 19:00:00,1,63.059595400205296,,,,,,,,,10.220000000000027,,-0.02333333333333333,11.7,0.0,6.0,102.0,01-05-18 19:00,0.0,05-01-18,,,0
116,20,62.7,59.5,59.7,62.2,66.3,2018-01-05 20:00:00,1,62.83842604331622,,,,,,,,,9.600000000000025,,-0.01,11.433333333333332,0.0,,12.0,01-05-18 20:00,0.0,05-01-18,,,0
117,21,60.3,58.2,62.4,60.9,65.3,2018-01-05 21:00:00,1,62.08910007914711,,,,,,,,,9.140000000000043,,-0.006666666666666667,10.733333333333334,0.0,6.0,,01-05-18 21:00,0.0,05-01-18,,,0
118,22,61.7,58.0,65.4,60.3,64.9,2018-01-05 22:00:00,1,62.8955546397777,,,,,,,,,9.070000000000052,,0.006666666666666667,10.433333333333334,0.0,12.0,6.0,01-05-18 22:00,0.0,05-01-18,,,0
119,23,64.9,58.1,67.5,60.7,65.8,2018-01-05 23:00:00,1,64.57462666304374,,,,,,,,,8.990000000000009,,0.0,10.466666666666667,0.0,78.0,,01-05-18 23:00,0.0,05-01-18,,,0
120,0,63.6,58.0,67.6,60.5,65.2,2018-01-06 00:00:00,4,64.18617913794105,,,,,,,,,14.930000000000007,,0.02,18.4,0.0,66.0,,01-06-18 00:00,0.0,06-01-18,,,0
121,1,61.5,55.6,63.4,57.7,63.5,2018-01-06 01:00:00,4,61.32960018033424,,,,,,,,,15.060000000000002,,0.08333333333333333,18.133333333333336,0.0,12.0,,01-06-18 01:00,0.0,06-01-18,,,0
122,2,65.0,53.3,67.5,55.5,61.9,2018-01-06 02:00:00,4,63.38580673280227,,,,,,,,,14.260000000000048,,0.0,16.366666666666664,0.0,12.0,,01-06-18 02:00,0.0,06-01-18,,,0
123,3,54.0,48.8,59.1,51.0,62.4,2018-01-06 03:00:00,4,57.7866779502014,,,,,,,,,13.610000000000017,,0.013,16.2,0.0,6.0,,01-06-18 03:00,0.0,06-01-18,,,0
