,Sottocategoria Criminologica,Data
102,Altro,2018-09-28
103,Altro,2018-09-29
104,Altro,2018-10-01
105,Altro,2018-10-01
106,Altro,2018-10-02
107,Altro,2018-10-03
108,Altro,2018-10-03
109,Altro,2018-10-03
110,Altro,2018-10-03
111,Altro,2018-10-03
112,Altro,2018-10-04
113,Altro,2018-10-04
114,Altro,2018-10-04
115,Altro,2018-10-05
116,Altro,2018-10-05
117,Altro,2018-10-06
118,Altro,2018-10-08
119,Altro,2018-10-09
120,Altro,2018-10-09
121,Altro,2018-10-10
122,Altro,2018-10-10
123,Altro,2018-10-11
124,Altro,2018-10-12
125,Altro,2018-10-12
126,Altro,2018-10-13
127,Altro,2018-10-16
128,Altro,2018-10-16
129,Altro,2018-10-16
130,Altro,2018-10-17
131,Altro,2018-10-18
132,Altro,2018-10-19
133,Altro,2018-10-19
134,Altro,2018-10-19
135,Altro,2018-10-20
136,Altro,2018-10-20
137,Altro,2018-10-22
138,Altro,2018-10-22
139,Altro,2018-10-23
140,Altro,2018-10-23
141,Altro,2018-10-24
142,Altro,2018-10-25
143,Altro,2018-10-25
144,Altro,2018-10-29
145,Altro,2018-10-30
146,Altro,2018-10-31
147,Altro,2018-11-02
148,Altro,2018-11-03
149,Altro,2018-11-04
150,Altro,2018-11-05
151,Altro,2018-11-05
152,Altro,2018-11-06
153,Altro,2018-11-08
154,Altro,2018-11-08
155,Altro,2018-11-08
156,Altro,2018-11-09
157,Altro,2018-11-10
158,Altro,2018-11-11
159,Altro,2018-11-12
160,Altro,2018-11-12
161,Altro,2018-11-12
162,Altro,2018-11-13
163,Altro,2018-11-13
164,Altro,2018-11-13
165,Altro,2018-11-14
166,Altro,2018-11-14
167,Altro,2018-11-14
168,Altro,2018-11-14
169,Altro,2018-11-15
170,Altro,2018-11-15
171,Altro,2018-11-15
172,Altro,2018-11-15
173,Altro,2018-11-15
174,Altro,2018-11-15
175,Altro,2018-11-19
176,Altro,2018-11-19
177,Altro,2018-11-19
178,Altro,2018-11-19
179,Altro,2018-11-20
180,Altro,2018-11-20
181,Altro,2018-11-21
182,Altro,2018-11-22
183,Altro,2018-11-27
184,Altro,2018-11-28
185,Altro,2018-11-28
186,Altro,2018-11-29
187,Altro,2018-11-29
188,Altro,2018-11-30
189,Altro,2018-11-30
190,Altro,2018-12-05
191,Altro,2018-12-05
192,Altro,2018-12-06
193,Altro,2018-12-06
194,Altro,2018-12-06
195,Altro,2018-12-07
196,Altro,2018-12-09
197,Altro,2018-12-12
198,Altro,2018-12-12
199,Altro,2018-12-14
200,Altro,2018-12-14
201,Altro,2018-12-14
202,Altro,2018-12-14
203,Altro,2018-12-17
204,Altro,2018-12-17
205,Altro,2018-12-17
206,Altro,2018-12-20
207,Altro,2018-12-21
208,Altro,2018-12-21
209,Altro,2018-12-21
210,Altro,2018-12-27
211,Altro,2018-12-29
212,Altro,2018-12-30
323,Disturbi da locali,2018-07-01
324,Disturbi da locali,2018-07-03
325,Disturbi da locali,2018-07-03
326,Disturbi da locali,2018-07-04
327,Disturbi da locali,2018-07-04
328,Disturbi da locali,2018-07-05
329,Disturbi da locali,2018-07-05
330,Disturbi da locali,2018-07-06
331,Disturbi da locali,2018-07-08
332,Disturbi da locali,2018-07-09
333,Disturbi da locali,2018-07-09
334,Disturbi da locali,2018-07-11
335,Disturbi da locali,2018-07-11
336,Disturbi da locali,2018-07-12
337,Disturbi da locali,2018-07-13
338,Disturbi da locali,2018-07-17
339,Disturbi da locali,2018-07-17
340,Disturbi da locali,2018-07-22
341,Disturbi da locali,2018-07-22
342,Disturbi da locali,2018-07-23
343,Disturbi da locali,2018-07-23
344,Disturbi da locali,2018-07-24
345,Disturbi da locali,2018-07-25
346,Disturbi da locali,2018-07-27
347,Disturbi da locali,2018-08-08
348,Disturbi da locali,2018-08-09
349,Disturbi da locali,2018-08-10
350,Disturbi da locali,2018-08-10
351,Disturbi da locali,2018-08-16
352,Disturbi da locali,2018-08-17
353,Disturbi da locali,2018-08-27
354,Disturbi da locali,2018-08-28
355,Disturbi da locali,2018-08-28
356,Disturbi da locali,2018-09-05
357,Disturbi da locali,2018-09-06
358,Disturbi da locali,2018-09-10
359,Disturbi da locali,2018-09-10
360,Disturbi da locali,2018-09-14
361,Disturbi da locali,2018-09-14
362,Disturbi da locali,2018-09-14
363,Disturbi da locali,2018-09-17
364,Disturbi da locali,2018-09-19
365,Disturbi da locali,2018-09-20
366,Disturbi da locali,2018-09-21
367,Disturbi da locali,2018-09-21
368,Disturbi da locali,2018-09-24
369,Disturbi da locali,2018-09-24
370,Disturbi da locali,2018-09-24
371,Disturbi da locali,2018-09-25
372,Disturbi da locali,2018-09-29
373,Disturbi da locali,2018-09-29
374,Disturbi da locali,2018-09-29
375,Disturbi da locali,2018-10-01
376,Disturbi da locali,2018-10-02
377,Disturbi da locali,2018-10-05
378,Disturbi da locali,2018-10-11
379,Disturbi da locali,2018-10-18
380,Disturbi da locali,2018-10-19
381,Disturbi da locali,2018-10-21
382,Disturbi da locali,2018-10-23
383,Disturbi da locali,2018-10-23
384,Disturbi da locali,2018-10-23
385,Disturbi da locali,2018-10-29
386,Disturbi da locali,2018-11-06
387,Disturbi da locali,2018-11-07
388,Disturbi da locali,2018-11-09
389,Disturbi da locali,2018-11-14
390,Disturbi da locali,2018-11-14
391,Disturbi da locali,2018-11-14
392,Disturbi da locali,2018-11-14
393,Disturbi da locali,2018-11-14
394,Disturbi da locali,2018-11-14
395,Disturbi da locali,2018-11-22
396,Disturbi da locali,2018-11-22
397,Disturbi da locali,2018-11-24
398,Disturbi da locali,2018-11-29
399,Disturbi da locali,2018-11-29
400,Disturbi da locali,2018-11-30
401,Disturbi da locali,2018-12-01
402,Disturbi da locali,2018-12-01
403,Disturbi da locali,2018-12-03
404,Disturbi da locali,2018-12-04
405,Disturbi da locali,2018-12-04
406,Disturbi da locali,2018-12-07
407,Disturbi da locali,2018-12-11
408,Disturbi da locali,2018-12-14
409,Disturbi da locali,2018-12-28
410,Disturbi da locali,2018-12-30
411,Disturbi da locali,2018-12-30
412,Rumori molesti,2018-07-02
413,Rumori molesti,2018-07-03
414,Rumori molesti,2018-07-03
415,Rumori molesti,2018-07-04
416,Rumori molesti,2018-07-04
417,Rumori molesti,2018-07-05
418,Rumori molesti,2018-07-07
419,Rumori molesti,2018-07-09
420,Rumori molesti,2018-07-09
421,Rumori molesti,2018-07-11
422,Rumori molesti,2018-07-11
423,Rumori molesti,2018-07-12
424,Rumori molesti,2018-07-13
425,Rumori molesti,2018-07-14
426,Rumori molesti,2018-07-18
427,Rumori molesti,2018-07-19
428,Rumori molesti,2018-07-20
429,Rumori molesti,2018-07-24
430,Rumori molesti,2018-07-25
431,Rumori molesti,2018-07-25
432,Rumori molesti,2018-07-25
433,Rumori molesti,2018-07-25
434,Rumori molesti,2018-07-26
435,Rumori molesti,2018-08-01
436,Rumori molesti,2018-08-03
437,Rumori molesti,2018-08-08
438,Rumori molesti,2018-08-09
439,Rumori molesti,2018-08-09
440,Rumori molesti,2018-08-10
441,Rumori molesti,2018-08-10
442,Rumori molesti,2018-08-13
443,Rumori molesti,2018-08-13
444,Rumori molesti,2018-08-17
445,Rumori molesti,2018-08-20
446,Rumori molesti,2018-08-23
447,Rumori molesti,2018-08-24
448,Rumori molesti,2018-08-27
449,Rumori molesti,2018-08-28
450,Rumori molesti,2018-08-29
451,Rumori molesti,2018-08-31
452,Rumori molesti,2018-08-31
453,Rumori molesti,2018-09-04
454,Rumori molesti,2018-09-05
455,Rumori molesti,2018-09-06
456,Rumori molesti,2018-09-11
457,Rumori molesti,2018-09-14
458,Rumori molesti,2018-09-20
459,Rumori molesti,2018-09-21
460,Rumori molesti,2018-09-21
461,Rumori molesti,2018-09-21
462,Rumori molesti,2018-09-23
463,Rumori molesti,2018-10-04
464,Rumori molesti,2018-10-15
465,Rumori molesti,2018-10-17
466,Rumori molesti,2018-10-23
467,Rumori molesti,2018-10-29
468,Rumori molesti,2018-10-29
469,Rumori molesti,2018-11-05
470,Rumori molesti,2018-11-05
471,Rumori molesti,2018-11-09
472,Rumori molesti,2018-11-12
473,Rumori molesti,2018-11-12
474,Rumori molesti,2018-11-12
475,Rumori molesti,2018-11-12
476,Rumori molesti,2018-11-14
477,Rumori molesti,2018-11-22
478,Rumori molesti,2018-11-23
479,Rumori molesti,2018-12-04
480,Rumori molesti,2018-12-06
481,Rumori molesti,2018-12-11
482,Rumori molesti,2018-12-11
483,Rumori molesti,2018-12-13
484,Rumori molesti,2018-12-18
485,Rumori molesti,2018-12-21
486,Rumori molesti,2018-12-24
487,Uso improprio parti comuni,2018-07-26
488,Uso improprio parti comuni,2018-08-08
489,Uso improprio parti comuni,2018-10-10
490,Uso improprio parti comuni,2018-10-30
491,Altro,2018-07-02
492,Altro,2018-07-03
493,Altro,2018-07-03
494,Altro,2018-07-03
495,Altro,2018-07-04
496,Altro,2018-07-04
497,Altro,2018-07-05
498,Altro,2018-07-06
499,Altro,2018-07-06
500,Altro,2018-07-06
501,Altro,2018-07-06
502,Altro,2018-07-08
503,Altro,2018-07-09
504,Altro,2018-07-09
505,Altro,2018-07-10
506,Altro,2018-07-11
507,Altro,2018-07-11
508,Altro,2018-07-12
509,Altro,2018-07-12
510,Altro,2018-07-17
511,Altro,2018-07-17
512,Altro,2018-07-17
513,Altro,2018-07-18
514,Altro,2018-07-18
515,Altro,2018-07-19
516,Altro,2018-07-20
517,Altro,2018-07-23
518,Altro,2018-07-23
519,Altro,2018-07-23
520,Altro,2018-07-24
521,Altro,2018-07-25
522,Altro,2018-07-25
523,Altro,2018-07-25
524,Altro,2018-07-25
525,Altro,2018-07-25
526,Altro,2018-07-27
527,Altro,2018-07-27
528,Altro,2018-07-31
529,Altro,2018-08-01
530,Altro,2018-08-01
531,Altro,2018-08-02
532,Altro,2018-08-02
533,Altro,2018-08-02
534,Altro,2018-08-03
535,Altro,2018-08-03
536,Altro,2018-08-06
537,Altro,2018-08-06
538,Altro,2018-08-07
539,Altro,2018-08-07
540,Altro,2018-08-07
541,Altro,2018-08-08
542,Altro,2018-08-10
543,Altro,2018-08-10
544,Altro,2018-08-14
545,Altro,2018-08-14
546,Altro,2018-08-16
547,Altro,2018-08-16
548,Altro,2018-08-16
549,Altro,2018-08-17
550,Altro,2018-08-20
551,Altro,2018-08-20
552,Altro,2018-08-26
553,Altro,2018-08-29
554,Altro,2018-08-29
555,Altro,2018-09-01
556,Altro,2018-09-01
557,Altro,2018-09-04
558,Altro,2018-09-06
559,Altro,2018-09-06
560,Altro,2018-09-06
561,Altro,2018-09-10
562,Altro,2018-09-11
563,Altro,2018-09-12
564,Altro,2018-09-12
565,Altro,2018-09-17
566,Altro,2018-09-17
567,Altro,2018-09-17
568,Altro,2018-09-18
569,Altro,2018-09-18
570,Altro,2018-09-19
571,Altro,2018-09-20
572,Altro,2018-09-21
573,Altro,2018-09-21
574,Altro,2018-09-22
575,Altro,2018-09-22
576,Altro,2018-09-24
577,Altro,2018-09-24
578,Altro,2018-09-25
579,Altro,2018-09-26
580,Altro,2018-09-26
581,Altro,2018-09-27
582,Altro,2018-09-28
583,Altro,2018-09-28
584,Altro,2018-09-29
585,Altro,2018-09-29
586,Altro,2018-10-02
587,Altro,2018-10-02
588,Altro,2018-10-02
589,Altro,2018-10-03
590,Altro,2018-10-04
591,Altro,2018-10-04
592,Altro,2018-10-05
593,Altro,2018-10-05
594,Altro,2018-10-06
595,Altro,2018-10-06
596,Altro,2018-10-07
597,Altro,2018-10-08
598,Altro,2018-10-08
599,Altro,2018-10-09
600,Altro,2018-10-09
601,Altro,2018-10-09
602,Altro,2018-10-09
603,Altro,2018-10-10
604,Altro,2018-10-10
605,Altro,2018-10-11
606,Altro,2018-10-11
607,Altro,2018-10-15
608,Altro,2018-10-15
609,Altro,2018-10-17
610,Altro,2018-10-17
611,Altro,2018-10-18
612,Altro,2018-10-18
613,Altro,2018-10-19
614,Altro,2018-10-19
615,Altro,2018-10-19
616,Altro,2018-10-19
617,Altro,2018-10-22
618,Altro,2018-10-22
619,Altro,2018-10-23
620,Altro,2018-10-23
621,Altro,2018-10-24
622,Altro,2018-10-25
623,Altro,2018-10-26
624,Altro,2018-10-26
625,Altro,2018-10-29
626,Altro,2018-10-29
627,Altro,2018-10-29
628,Altro,2018-10-29
629,Altro,2018-10-29
630,Altro,2018-10-30
631,Altro,2018-10-30
632,Altro,2018-10-31
633,Altro,2018-10-31
634,Altro,2018-11-02
635,Altro,2018-11-02
636,Altro,2018-11-05
637,Altro,2018-11-06
638,Altro,2018-11-06
639,Altro,2018-11-07
640,Altro,2018-11-07
641,Altro,2018-11-08
642,Altro,2018-11-12
643,Altro,2018-11-12
644,Altro,2018-11-12
645,Altro,2018-11-13
646,Altro,2018-11-14
647,Altro,2018-11-14
648,Altro,2018-11-14
649,Altro,2018-11-15
650,Altro,2018-11-15
651,Altro,2018-11-17
652,Altro,2018-11-18
653,Altro,2018-11-19
654,Altro,2018-11-19
655,Altro,2018-11-20
656,Altro,2018-11-21
657,Altro,2018-11-22
658,Altro,2018-11-22
659,Altro,2018-11-22
660,Altro,2018-11-23
661,Altro,2018-11-23
662,Altro,2018-11-23
663,Altro,2018-11-23
664,Altro,2018-11-23
665,Altro,2018-11-26
666,Altro,2018-11-26
667,Altro,2018-11-27
668,Altro,2018-11-28
669,Altro,2018-11-28
670,Altro,2018-11-28
671,Altro,2018-11-29
672,Altro,2018-11-29
673,Altro,2018-11-29
674,Altro,2018-11-30
675,Altro,2018-11-30
676,Altro,2018-12-03
677,Altro,2018-12-03
678,Altro,2018-12-04
679,Altro,2018-12-04
680,Altro,2018-12-05
681,Altro,2018-12-05
682,Altro,2018-12-05
683,Altro,2018-12-06
684,Altro,2018-12-07
685,Altro,2018-12-07
686,Altro,2018-12-07
687,Altro,2018-12-07
688,Altro,2018-12-10
689,Altro,2018-12-10
690,Altro,2018-12-12
691,Altro,2018-12-12
692,Altro,2018-12-12
693,Altro,2018-12-12
694,Altro,2018-12-12
695,Altro,2018-12-14
696,Altro,2018-12-14
697,Altro,2018-12-18
698,Altro,2018-12-18
699,Altro,2018-12-19
700,Altro,2018-12-20
701,Altro,2018-12-20
702,Altro,2018-12-20
703,Altro,2018-12-23
704,Altro,2018-12-28
705,Altro,2018-12-28
0,Altro,2018-02-01
1,Altro,2018-02-12
2,Altro,2018-02-26
3,Altro,2018-03-02
4,Altro,2018-03-05
5,Altro,2018-03-09
6,Altro,2018-03-12
7,Altro,2018-03-14
8,Altro,2018-03-16
9,Altro,2018-03-19
10,Altro,2018-03-21
11,Altro,2018-05-18
12,Altro,2018-05-28
13,Altro,2018-05-29
16,Altro,2018-01-02
17,Altro,2018-01-02
18,Altro,2018-01-02
19,Altro,2018-01-02
20,Altro,2018-01-02
21,Altro,2018-01-02
22,Altro,2018-01-03
23,Altro,2018-01-03
24,Altro,2018-01-05
25,Altro,2018-01-08
26,Altro,2018-01-09
27,Altro,2018-01-09
28,Altro,2018-01-12
29,Altro,2018-01-12
30,Altro,2018-01-12
31,Altro,2018-01-12
32,Altro,2018-01-14
33,Altro,2018-01-15
34,Altro,2018-01-15
35,Altro,2018-01-15
36,Altro,2018-01-17
37,Altro,2018-01-17
38,Altro,2018-01-17
39,Altro,2018-01-18
40,Altro,2018-01-19
41,Altro,2018-01-19
42,Altro,2018-01-19
43,Altro,2018-01-20
44,Altro,2018-01-20
45,Altro,2018-01-20
46,Altro,2018-01-22
47,Altro,2018-01-22
48,Altro,2018-01-22
49,Altro,2018-01-23
50,Altro,2018-01-23
51,Altro,2018-01-23
52,Altro,2018-01-24
53,Altro,2018-01-24
54,Altro,2018-01-24
55,Altro,2018-01-24
56,Altro,2018-01-25
57,Altro,2018-01-25
58,Altro,2018-01-25
59,Altro,2018-01-26
60,Altro,2018-01-29
61,Altro,2018-01-29
62,Altro,2018-01-29
63,Altro,2018-01-29
64,Altro,2018-01-30
65,Altro,2018-01-30
66,Altro,2018-01-30
67,Altro,2018-01-31
68,Altro,2018-01-31
69,Altro,2018-01-31
70,Altro,2018-01-31
71,Altro,2018-01-31
72,Altro,2018-02-01
73,Altro,2018-02-03
74,Altro,2018-02-05
75,Altro,2018-02-05
76,Altro,2018-02-05
77,Altro,2018-02-06
78,Altro,2018-02-06
79,Altro,2018-02-06
80,Altro,2018-02-06
81,Altro,2018-02-07
82,Altro,2018-02-07
83,Altro,2018-02-07
84,Altro,2018-02-07
85,Altro,2018-02-08
86,Altro,2018-02-08
87,Altro,2018-02-08
88,Altro,2018-02-08
89,Altro,2018-02-09
90,Altro,2018-02-09
91,Altro,2018-02-09
92,Altro,2018-02-11
93,Altro,2018-02-12
94,Altro,2018-02-12
95,Altro,2018-02-12
96,Altro,2018-02-13
97,Altro,2018-02-13
98,Altro,2018-02-13
99,Altro,2018-02-13
100,Altro,2018-02-13
101,Altro,2018-02-14
102,Altro,2018-02-14
103,Altro,2018-02-14
104,Altro,2018-02-15
105,Altro,2018-02-15
106,Altro,2018-02-16
107,Altro,2018-02-16
108,Altro,2018-02-16
109,Altro,2018-02-18
110,Altro,2018-02-19
111,Altro,2018-02-19
112,Altro,2018-02-19
113,Altro,2018-02-19
114,Altro,2018-02-19
115,Altro,2018-02-19
116,Altro,2018-02-19
117,Altro,2018-02-19
118,Altro,2018-02-20
119,Altro,2018-02-20
120,Altro,2018-02-21
121,Altro,2018-02-21
122,Altro,2018-02-21
123,Altro,2018-02-21
124,Altro,2018-02-21
125,Altro,2018-02-21
126,Altro,2018-02-22
127,Altro,2018-02-22
128,Altro,2018-02-22
129,Altro,2018-02-24
130,Altro,2018-02-26
131,Altro,2018-02-26
132,Altro,2018-02-27
133,Altro,2018-02-28
134,Altro,2018-02-28
135,Altro,2018-02-28
136,Altro,2018-02-28
137,Altro,2018-02-28
138,Altro,2018-03-01
139,Altro,2018-03-01
140,Altro,2018-03-02
141,Altro,2018-03-02
142,Altro,2018-03-04
143,Altro,2018-03-05
144,Altro,2018-03-05
145,Altro,2018-03-05
146,Altro,2018-03-05
147,Altro,2018-03-06
148,Altro,2018-03-06
149,Altro,2018-03-06
150,Altro,2018-03-06
151,Altro,2018-03-07
152,Altro,2018-03-07
153,Altro,2018-03-07
154,Altro,2018-03-07
155,Altro,2018-03-08
156,Altro,2018-03-08
157,Altro,2018-03-08
158,Altro,2018-03-08
159,Altro,2018-03-08
160,Altro,2018-03-08
161,Altro,2018-03-08
162,Altro,2018-03-08
163,Altro,2018-03-09
164,Altro,2018-03-11
165,Altro,2018-03-11
166,Altro,2018-03-12
167,Altro,2018-03-13
168,Altro,2018-03-13
169,Altro,2018-03-13
170,Altro,2018-03-13
171,Altro,2018-03-13
172,Altro,2018-03-13
173,Altro,2018-03-13
174,Altro,2018-03-13
175,Altro,2018-03-13
176,Altro,2018-03-13
177,Altro,2018-03-14
178,Altro,2018-03-14
179,Altro,2018-03-14
180,Altro,2018-03-14
181,Altro,2018-03-15
182,Altro,2018-03-15
183,Altro,2018-03-15
184,Altro,2018-03-15
185,Altro,2018-03-15
186,Altro,2018-03-15
187,Altro,2018-03-16
188,Altro,2018-03-16
189,Altro,2018-03-18
190,Altro,2018-03-18
191,Altro,2018-03-19
192,Altro,2018-03-19
193,Altro,2018-03-20
194,Altro,2018-03-20
195,Altro,2018-03-20
196,Altro,2018-03-21
197,Altro,2018-03-21
198,Altro,2018-03-21
199,Altro,2018-03-21
200,Altro,2018-03-22
201,Altro,2018-03-23
202,Altro,2018-03-23
203,Altro,2018-03-23
204,Altro,2018-03-23
205,Altro,2018-03-26
206,Altro,2018-03-26
207,Altro,2018-03-27
208,Altro,2018-03-27
209,Altro,2018-03-27
210,Altro,2018-03-27
211,Altro,2018-03-28
212,Altro,2018-03-28
213,Altro,2018-03-28
214,Altro,2018-03-29
215,Altro,2018-03-29
216,Altro,2018-03-29
217,Altro,2018-03-29
218,Altro,2018-03-29
219,Altro,2018-03-30
220,Altro,2018-03-30
221,Altro,2018-03-30
222,Altro,2018-04-03
223,Altro,2018-04-03
224,Altro,2018-04-03
225,Altro,2018-04-03
226,Altro,2018-04-04
227,Altro,2018-04-04
228,Altro,2018-04-05
229,Altro,2018-04-06
230,Altro,2018-04-06
231,Altro,2018-04-07
232,Altro,2018-04-08
233,Altro,2018-04-09
234,Altro,2018-04-10
235,Altro,2018-04-10
236,Altro,2018-04-10
237,Altro,2018-04-10
238,Altro,2018-04-11
239,Altro,2018-04-11
240,Altro,2018-04-11
241,Altro,2018-04-12
242,Altro,2018-04-12
243,Altro,2018-04-13
244,Altro,2018-04-13
245,Altro,2018-04-16
246,Altro,2018-04-17
247,Altro,2018-04-18
248,Altro,2018-04-18
249,Altro,2018-04-18
250,Altro,2018-04-19
251,Altro,2018-04-20
252,Altro,2018-04-20
253,Altro,2018-04-23
254,Altro,2018-04-24
255,Altro,2018-04-24
256,Altro,2018-04-26
257,Altro,2018-04-27
258,Altro,2018-04-27
259,Altro,2018-04-28
260,Altro,2018-05-02
261,Altro,2018-05-02
262,Altro,2018-05-02
263,Altro,2018-05-02
264,Altro,2018-05-02
265,Altro,2018-05-02
266,Altro,2018-05-03
267,Altro,2018-05-03
268,Altro,2018-05-03
269,Altro,2018-05-07
270,Altro,2018-05-07
271,Altro,2018-05-07
272,Altro,2018-05-09
273,Altro,2018-05-09
274,Altro,2018-05-10
275,Altro,2018-05-10
276,Altro,2018-05-12
277,Altro,2018-05-15
278,Altro,2018-05-15
279,Altro,2018-05-15
280,Altro,2018-05-15
281,Altro,2018-05-16
282,Altro,2018-05-16
283,Altro,2018-05-18
284,Altro,2018-05-18
285,Altro,2018-05-21
286,Altro,2018-05-22
287,Altro,2018-05-23
288,Altro,2018-05-23
289,Altro,2018-05-24
290,Altro,2018-05-25
291,Altro,2018-05-26
292,Altro,2018-05-26
293,Altro,2018-05-28
294,Altro,2018-05-28
295,Altro,2018-05-28
296,Altro,2018-05-28
297,Altro,2018-05-29
298,Altro,2018-05-29
299,Altro,2018-05-29
300,Altro,2018-05-29
301,Altro,2018-05-30
302,Altro,2018-05-30
303,Altro,2018-05-30
304,Altro,2018-05-31
305,Altro,2018-05-31
306,Altro,2018-05-31
307,Altro,2018-05-31
308,Altro,2018-05-31
309,Altro,2018-05-31
310,Altro,2018-06-01
311,Altro,2018-06-01
312,Altro,2018-06-01
313,Altro,2018-06-04
314,Altro,2018-06-04
315,Altro,2018-06-04
316,Altro,2018-06-05
317,Altro,2018-06-05
318,Altro,2018-06-05
319,Altro,2018-06-06
320,Altro,2018-06-06
321,Altro,2018-06-06
322,Altro,2018-06-06
323,Altro,2018-06-06
324,Altro,2018-06-07
325,Altro,2018-06-07
326,Altro,2018-06-08
327,Altro,2018-06-08
328,Altro,2018-06-11
329,Altro,2018-06-11
330,Altro,2018-06-12
331,Altro,2018-06-13
332,Altro,2018-06-16
333,Altro,2018-06-17
334,Altro,2018-06-18
335,Altro,2018-06-18
336,Altro,2018-06-18
337,Altro,2018-06-19
338,Altro,2018-06-19
339,Altro,2018-06-20
340,Altro,2018-06-21
341,Altro,2018-06-21
342,Altro,2018-06-22
343,Altro,2018-06-22
344,Altro,2018-06-24
345,Altro,2018-06-25
346,Altro,2018-06-26
347,Altro,2018-06-27
348,Altro,2018-06-28
349,Altro,2018-06-29
350,Altro,2018-06-29
351,Altro,2018-06-30
425,Disturbi da locali,2018-01-02
426,Disturbi da locali,2018-01-02
427,Disturbi da locali,2018-01-10
428,Disturbi da locali,2018-01-10
429,Disturbi da locali,2018-01-12
430,Disturbi da locali,2018-01-12
431,Disturbi da locali,2018-01-16
432,Disturbi da locali,2018-01-18
433,Disturbi da locali,2018-01-24
434,Disturbi da locali,2018-01-28
435,Disturbi da locali,2018-01-29
436,Disturbi da locali,2018-01-30
437,Disturbi da locali,2018-02-01
438,Disturbi da locali,2018-02-01
439,Disturbi da locali,2018-02-01
440,Disturbi da locali,2018-02-01
441,Disturbi da locali,2018-02-01
442,Disturbi da locali,2018-02-01
443,Disturbi da locali,2018-02-05
444,Disturbi da locali,2018-02-05
445,Disturbi da locali,2018-02-07
446,Disturbi da locali,2018-02-08
447,Disturbi da locali,2018-02-14
448,Disturbi da locali,2018-02-15
449,Disturbi da locali,2018-02-20
450,Disturbi da locali,2018-02-23
451,Disturbi da locali,2018-03-05
452,Disturbi da locali,2018-03-13
453,Disturbi da locali,2018-03-15
454,Disturbi da locali,2018-03-15
455,Disturbi da locali,2018-03-19
456,Disturbi da locali,2018-03-22
457,Disturbi da locali,2018-03-24
458,Disturbi da locali,2018-03-24
459,Disturbi da locali,2018-03-24
460,Disturbi da locali,2018-03-24
461,Disturbi da locali,2018-03-24
462,Disturbi da locali,2018-03-26
463,Disturbi da locali,2018-03-27
464,Disturbi da locali,2018-03-27
465,Disturbi da locali,2018-03-29
466,Disturbi da locali,2018-03-29
467,Disturbi da locali,2018-03-30
468,Disturbi da locali,2018-04-02
469,Disturbi da locali,2018-04-03
470,Disturbi da locali,2018-04-03
471,Disturbi da locali,2018-04-03
472,Disturbi da locali,2018-04-03
473,Disturbi da locali,2018-04-06
474,Disturbi da locali,2018-04-14
475,Disturbi da locali,2018-04-19
