,Ora,C1,C2,C3,C4,C5,date_hour,day,Log_Avg,No. of Visitors,index,numero_presenze,dettaglio(secondi),temp,winds,rainfall_mm,snowfall_mm,is_match_pad,is_home_pad,count_close,count_open,final_date,count_complaint,dat_hr,n,flow_mean,flow_sd,flow_median,speed_mean,speed_sd,speed_median,date,Day,Holiday,isHoliday
21,21,57.8,57.8,57.9,60.3,59.6,2018-01-01 21:00:00,0,58.81412541873077,,,,,1.2000000000000457,1.09,-0.016,3.1,0.0,0.0,6.0,,01-01-18 21:00,0.0,01-01-18 21:00,1124.0,2849.646,1971.471,2514.0,353.83099999999996,134.47799999999998,324.69,01-01-18,,,0
22,22,58.2,57.4,57.7,59.5,59.0,2018-01-01 22:00:00,0,58.431900506507915,,,,,0.8400000000000318,0.8500000000000002,-0.016999999999999998,3.033333333333333,0.0,0.0,6.0,6.0,01-01-18 22:00,0.0,01-01-18 22:00,1161.0,2506.365,1665.16,2190.0,355.082,133.312,327.43,01-01-18,,,0
23,23,56.5,57.9,57.5,59.3,59.0,2018-01-01 23:00:00,0,58.15721983467664,,,,,1.910000000000025,0.8200000000000001,-0.019,3.1333333333333333,0.0,0.0,66.0,,01-01-18 23:00,0.0,01-01-18 23:00,1064.0,1815.2260000000006,1201.5750000000005,1554.0,326.98300000000006,125.09299999999999,300.28500000000014,01-01-18,,,0
24,0,55.5,57.9,56.2,60.2,56.4,2018-01-02 00:00:00,3,57.592026595857526,,,,,4.5,,,,0.0,0.0,60.0,,01-02-18 00:00,0.0,01-02-18 00:00,1087.0,1778.7179999999998,1029.97,1653.0,379.39099999999996,134.934,348.5850000000001,02-01-18,,,0
25,1,59.2,55.2,54.7,57.4,52.7,2018-01-02 01:00:00,3,56.42220178735218,,,,,4.270000000000039,,,,0.0,0.0,12.0,,01-02-18 01:00,0.0,01-02-18 01:00,1112.0,849.905,572.1049999999998,756.0,367.035,147.295,332.15,02-01-18,,,0
26,2,46.8,52.5,51.0,54.9,51.9,2018-01-02 02:00:00,3,52.124511366834305,,,,,4.300000000000011,,,,0.0,0.0,12.0,,01-02-18 02:00,0.0,01-02-18 02:00,1001.0,534.9119999999999,367.372,444.0,375.21400000000006,149.17600000000002,334.67999999999995,02-01-18,,,0
27,3,47.2,48.4,51.1,50.6,48.7,2018-01-02 03:00:00,3,49.439248226023516,,,,,3.6899999999999977,,,,0.0,0.0,6.0,,01-02-18 03:00,0.0,01-02-18 03:00,980.0,417.181,284.342,330.0,377.476,152.84099999999995,335.17,02-01-18,,,0
28,4,47.5,47.9,51.3,49.6,51.0,2018-01-02 04:00:00,3,49.730202332554526,,,,,3.770000000000039,,,,0.0,0.0,6.0,,01-02-18 04:00,0.0,01-02-18 04:00,990.0,554.205,424.472,414.0,370.963,146.71800000000005,334.0900000000001,02-01-18,,,0
29,5,47.9,49.0,50.9,50.8,56.1,2018-01-02 05:00:00,3,51.99604860130943,,,,,3.7300000000000177,,,,0.0,0.0,,,01-02-18 05:00,0.0,01-02-18 05:00,1002.0,1757.265,1397.655,1368.0,375.98699999999997,144.755,353.67999999999995,02-01-18,,,0
30,6,58.9,53.0,55.3,56.0,58.7,2018-01-02 06:00:00,3,56.90910733260353,,,,,3.650000000000034,,,,0.0,0.0,,6.0,01-02-18 06:00,0.0,01-02-18 06:00,1075.0,3366.0850000000005,2482.2290000000007,2835.0,355.23500000000007,131.689,328.95,02-01-18,,,0
31,7,65.5,59.9,66.2,61.6,62.2,2018-01-02 07:00:00,3,63.72878569332519,,,,,2.8700000000000045,,,,0.0,0.0,,30.0,01-02-18 07:00,0.0,01-02-18 07:00,1029.0,9484.539,5908.3859999999995,8175.0,312.947,113.31200000000001,295.50999999999993,02-01-18,,,0
32,8,65.2,61.4,64.6,64.3,63.8,2018-01-02 08:00:00,3,64.03672726625379,,,,,2.8900000000000428,,,,0.0,0.0,,12.0,01-02-18 08:00,0.0,01-02-18 08:00,1014.0,11873.239999999998,6564.402000000001,10440.0,289.14,108.115,280.035,02-01-18,,,0
33,9,67.8,61.0,63.3,63.5,63.3,2018-01-02 09:00:00,3,64.40882853351746,,,,,3.920000000000016,,,,0.0,0.0,,,01-02-18 09:00,0.0,01-02-18 09:00,988.0,10318.997,5411.758000000001,9471.0,325.9790000000001,121.34,306.4500000000001,02-01-18,,,0
34,10,59.7,61.0,64.0,63.5,65.0,2018-01-02 10:00:00,3,63.05569104631119,,,,,4.420000000000017,,,,0.0,0.0,,,01-02-18 10:00,1.0,01-02-18 10:00,1045.0,8187.786,4204.7040000000015,7644.0,331.45099999999996,117.185,305.655,02-01-18,,,0
35,11,61.9,61.6,66.3,63.2,64.7,2018-01-02 11:00:00,3,63.90954771201435,,,,,4.980000000000018,,,,0.0,0.0,,6.0,01-02-18 11:00,2.0,01-02-18 11:00,1029.0,7826.996,3818.742,7440.0,337.706,124.257,313.7600000000001,02-01-18,,,0
36,12,60.7,61.3,63.3,63.2,64.4,2018-01-02 12:00:00,3,62.789979879130016,,,,,5.360000000000014,,,,0.0,0.0,,90.0,01-02-18 12:00,1.0,01-02-18 12:00,1056.0,8124.596999999999,3989.328,7533.0,337.7580000000001,126.467,312.955,02-01-18,,,0
37,13,60.9,60.7,61.1,62.0,62.5,2018-01-02 13:00:00,3,61.49624787024686,,,,,5.680000000000009,,,,0.0,0.0,,,01-02-18 13:00,0.0,01-02-18 13:00,1061.0,8042.571999999999,4217.373,7290.0,340.714,126.905,317.7150000000001,02-01-18,,,0
38,14,59.1,61.7,62.2,62.4,63.0,2018-01-02 14:00:00,3,61.866506379437844,,,,,5.840000000000032,,,,0.0,0.0,36.0,,01-02-18 14:00,0.0,01-02-18 14:00,1052.0,8901.666000000001,4824.198,8190.0,331.50699999999995,122.38,309.2750000000001,02-01-18,,,0
39,15,60.8,61.3,61.4,62.7,63.6,2018-01-02 15:00:00,3,62.0868672644605,,,,,6.28000000000003,,,,0.0,0.0,54.0,,01-02-18 15:00,0.0,01-02-18 15:00,1019.0,9048.679,4642.071,8334.0,330.0370000000001,123.791,307.835,02-01-18,,,0
40,16,60.5,62.0,61.6,63.4,63.8,2018-01-02 16:00:00,3,62.42489049447889,,,,,5.7100000000000355,,,,0.0,0.0,,,01-02-18 16:00,0.0,01-02-18 16:00,1042.0,9533.052,4821.384,8718.0,324.721,122.772,303.93999999999994,02-01-18,,,0
41,17,60.4,61.7,60.3,63.3,63.8,2018-01-02 17:00:00,3,62.13990357364955,,,,,4.910000000000026,,,,0.0,0.0,,12.0,01-02-18 17:00,0.0,01-02-18 17:00,1012.0,11030.455,6270.549000000001,9906.0,304.712,112.238,290.485,02-01-18,,,0
42,18,60.0,61.2,64.7,62.9,62.7,2018-01-02 18:00:00,3,62.591826908146466,,,,,4.439999999999999,,,,0.0,0.0,6.0,24.0,01-02-18 18:00,0.0,01-02-18 18:00,1036.0,11000.794,6248.663999999999,10014.0,299.585,112.395,285.115,02-01-18,,,0
43,19,62.0,61.0,62.4,62.6,63.0,2018-01-02 19:00:00,3,62.2513256064414,,,,,3.990000000000009,,,,0.0,0.0,6.0,108.0,01-02-18 19:00,0.0,01-02-18 19:00,974.0,10325.1,5340.142,9474.0,334.76099999999997,122.589,319.4,02-01-18,,,0
44,20,59.9,59.8,61.1,62.5,61.3,2018-01-02 20:00:00,3,61.03647870275711,,,,,4.160000000000025,,,,0.0,0.0,,12.0,01-02-18 20:00,0.0,01-02-18 20:00,896.0,6798.099,3526.4809999999993,6327.0,345.153,124.26700000000001,328.91,02-01-18,,,0
45,21,58.5,58.6,67.1,61.4,61.6,2018-01-02 21:00:00,3,62.73548468061398,,,,,3.5300000000000296,,,,0.0,0.0,6.0,,01-02-18 21:00,0.0,01-02-18 21:00,1163.0,4180.781999999998,2236.041,3870.0,359.42900000000003,136.09900000000002,330.16,02-01-18,,,0
46,22,56.5,58.8,59.8,61.5,59.9,2018-01-02 22:00:00,3,59.590441144112106,,,,,3.07000000000005,,,,0.0,0.0,18.0,6.0,01-02-18 22:00,0.0,01-02-18 22:00,1181.0,3800.128,2283.924,3417.0,360.73,137.707,330.42,02-01-18,,,0
47,23,57.1,59.0,58.7,61.4,59.8,2018-01-02 23:00:00,3,59.42888327490373,,,,,3.150000000000034,,,,0.0,0.0,78.0,,01-02-18 23:00,0.0,01-02-18 23:00,1080.0,2805.219,1591.1889999999999,2610.0,327.832,131.754,302.265,02-01-18,,,0
48,0,56.0,57.9,59.9,60.2,58.3,2018-01-03 00:00:00,3,58.71006456023874,,,,,-5.349999999999966,,0.005,-3.5,0.0,0.0,60.0,,01-03-18 00:00,0.0,01-03-18 00:00,1036.0,2121.732,1289.9930000000004,1944.0,361.83,118.222,344.885,03-01-18,,,0
49,1,54.1,55.2,56.7,57.4,56.6,2018-01-03 01:00:00,3,56.154313025643944,,,,,-5.389999999999987,,0.009000000000000001,-3.6,0.0,0.0,12.0,,01-03-18 01:00,0.0,01-03-18 01:00,1102.0,857.2660000000002,571.315,732.0,346.529,117.27199999999998,326.36,03-01-18,,,0
50,2,52.2,52.5,58.9,54.9,63.1,2018-01-03 02:00:00,3,58.414597391392,,,,,-5.3700000000000045,,0.011000000000000001,-3.5666666666666664,0.0,0.0,12.0,,01-03-18 02:00,0.0,01-03-18 02:00,983.0,535.0830000000002,386.179,423.0,349.375,115.073,329.7650000000001,03-01-18,,,0
51,3,47.0,48.4,46.6,50.6,61.3,2018-01-03 03:00:00,3,55.128947924419904,,,,,-5.3700000000000045,,0.013,-3.6666666666666665,0.0,0.0,6.0,,01-03-18 03:00,0.0,01-03-18 03:00,922.0,455.85400000000004,316.38199999999995,366.0,353.934,123.98300000000002,329.845,03-01-18,,,0
52,4,35.0,47.9,46.5,49.6,58.1,2018-01-03 04:00:00,3,52.285776594362616,,,,,-5.489999999999952,,0.012,-3.9,0.0,0.0,6.0,,01-03-18 04:00,0.0,01-03-18 04:00,1015.0,668.063,643.64,510.0,354.05,119.91700000000002,333.065,03-01-18,,,0
53,5,47.6,49.0,46.0,50.8,53.8,2018-01-03 05:00:00,3,50.30921191041391,,,,,-5.589999999999975,,0.012,-3.8,0.0,0.0,,,01-03-18 05:00,0.0,01-03-18 05:00,1059.0,1621.9260000000002,1362.5929999999996,1230.0,352.761,121.807,329.415,03-01-18,,,0
54,6,54.8,53.0,49.3,56.0,60.9,2018-01-03 06:00:00,3,56.46405912144868,,,,,-5.669999999999959,,0.015000000000000003,-3.8,0.0,0.0,,6.0,01-03-18 06:00,0.0,01-03-18 06:00,1023.0,3436.63,2497.1479999999997,2895.0,348.028,113.34899999999999,328.05,03-01-18,,,0
55,7,63.3,59.9,66.2,61.6,65.0,2018-01-03 07:00:00,3,63.76270674246777,,,,,-5.359999999999957,,0.015000000000000003,-3.733333333333333,0.0,0.0,,30.0,01-03-18 07:00,0.0,01-03-18 07:00,949.0,9302.584,5903.758000000002,7890.0,310.24400000000014,102.596,297.1,03-01-18,,,0
56,8,63.0,61.4,64.6,64.3,64.1,2018-01-03 08:00:00,3,63.62543116024294,,,,,-4.939999999999999,,0.012,-2.8666666666666667,0.0,0.0,,12.0,01-03-18 08:00,0.0,01-03-18 08:00,1022.0,11820.792,6394.979,10584.0,292.572,105.28,279.165,03-01-18,,,0
57,9,64.3,61.0,63.3,63.5,65.0,2018-01-03 09:00:00,3,63.61328142917162,,,,,-3.2999999999999545,,0.009000000000000001,-1.3,0.0,0.0,,,01-03-18 09:00,0.0,01-03-18 09:00,1052.0,9627.815,5574.064000000002,8460.0,321.1140000000001,112.335,300.64,03-01-18,,,0
58,10,62.5,61.0,64.0,63.5,64.2,2018-01-03 10:00:00,3,63.188176997021905,,,,,-3.42999999999995,,0.192,0.2333333333333333,0.0,0.0,,,01-03-18 10:00,0.0,01-03-18 10:00,1030.0,7941.607999999998,4203.539000000001,7260.0,341.761,118.893,316.43,03-01-18,,,0
59,11,63.1,61.6,66.3,63.2,63.6,2018-01-03 11:00:00,3,63.85003085877461,,,,,-1.7799999999999727,,0.206,1.2666666666666668,0.0,0.0,,6.0,01-03-18 11:00,0.0,01-03-18 11:00,1011.0,7595.005999999999,3939.222,7074.0,341.361,120.554,316.2700000000001,03-01-18,,,0
60,12,61.5,61.3,63.3,63.2,64.1,2018-01-03 12:00:00,3,62.814494734548404,,,,,-2.2099999999999795,,0.002,1.3,0.0,0.0,,90.0,01-03-18 12:00,0.0,01-03-18 12:00,1080.0,7857.765999999999,4051.988,7326.0,345.522,125.75,314.055,03-01-18,,,0
61,13,60.9,60.7,61.1,62.0,64.8,2018-01-03 13:00:00,3,62.2001707498943,,,,,-1.9399999999999975,,0.006999999999999999,1.4666666666666668,0.0,0.0,,,01-03-18 13:00,0.0,01-03-18 13:00,1090.0,7910.186,4415.196,7044.0,344.465,123.198,317.38999999999993,03-01-18,,,0
62,14,60.8,61.7,62.2,62.4,64.3,2018-01-03 14:00:00,3,62.440442152919815,,,,,-1.6399999999999864,,0.003,2.4,0.0,0.0,36.0,,01-03-18 14:00,0.0,01-03-18 14:00,1063.0,8666.987000000001,4982.661999999998,7782.0,340.191,121.11,313.44,03-01-18,,,0
63,15,61.4,61.3,61.4,62.7,64.1,2018-01-03 15:00:00,3,62.3260045969957,,,,,-1.8199999999999927,,0.003,1.2333333333333334,0.0,0.0,54.0,,01-03-18 15:00,0.0,01-03-18 15:00,1042.0,8926.558,4667.258,8112.0,337.18300000000005,120.451,314.095,03-01-18,,,0
64,16,61.5,62.0,61.6,63.4,63.3,2018-01-03 16:00:00,3,62.43959968633565,,,,,-1.7199999999999704,,0.005,0.13333333333333333,0.0,0.0,,,01-03-18 16:00,0.0,01-03-18 16:00,1062.0,9543.319,4971.384,8670.0,332.34400000000005,120.12900000000002,309.68,03-01-18,,,0
65,17,61.8,61.7,60.3,63.3,64.0,2018-01-03 17:00:00,3,62.41249418359851,,,,,-1.9799999999999611,,-0.005,-0.3333333333333333,0.0,0.0,,12.0,01-03-18 17:00,0.0,01-03-18 17:00,1031.0,10912.403,6312.486999999999,9654.0,318.8520000000001,114.355,301.6500000000001,03-01-18,,,0
66,18,61.6,61.2,64.7,62.9,63.5,2018-01-03 18:00:00,3,62.96817450651618,,,,,-2.539999999999964,,-0.002,-0.6,0.0,0.0,6.0,24.0,01-03-18 18:00,0.0,01-03-18 18:00,1060.0,11092.631000000001,6365.264,9630.0,315.664,113.46700000000001,298.63,03-01-18,,,0
67,19,61.6,61.0,62.4,62.6,63.9,2018-01-03 19:00:00,3,62.41375906114159,,,,,-2.8899999999999864,,0.0,-0.8666666666666667,0.0,0.0,6.0,108.0,01-03-18 19:00,0.0,01-03-18 19:00,1006.0,10020.799,5693.264,9048.0,329.522,120.597,306.38000000000005,03-01-18,,,0
68,20,61.0,59.8,61.1,62.5,61.9,2018-01-03 20:00:00,3,61.35403870494223,,,,,-2.9099999999999686,,0.001,-0.8333333333333334,0.0,0.0,,12.0,01-03-18 20:00,0.0,01-03-18 20:00,1194.0,6487.452000000001,3704.6340000000014,5928.0,349.11400000000003,126.376,316.68500000000006,03-01-18,,,0
69,21,59.8,58.6,57.0,61.4,60.2,2018-01-03 21:00:00,3,59.64554585475996,,,,,-2.4499999999999886,,0.003,-0.8000000000000002,0.0,0.0,6.0,,01-03-18 21:00,0.0,01-03-18 21:00,1208.0,4022.815,2315.8,3684.0,358.334,128.66400000000002,329.135,03-01-18,,,0
70,22,60.4,58.8,59.2,61.5,59.4,2018-01-03 22:00:00,3,59.974144052615664,,,,,-2.5499999999999545,,0.004,-1.4666666666666668,0.0,0.0,18.0,6.0,01-03-18 22:00,0.0,01-03-18 22:00,1225.0,3602.0270000000005,2264.8050000000007,3168.0,359.231,128.487,329.7650000000001,03-01-18,,,0
71,23,62.1,59.0,59.7,61.4,59.6,2018-01-03 23:00:00,3,60.52446738161517,,,,,-2.6299999999999955,,0.005,-1.1666666666666667,0.0,0.0,78.0,,01-03-18 23:00,0.0,01-03-18 23:00,1119.0,2631.871,1616.024,2400.0,327.57000000000005,123.369,300.68,03-01-18,,,0
72,0,68.0,61.2,58.7,64.1,61.0,2018-01-04 00:00:00,6,63.87335059747775,,,,,5.0,,0.0,6.4,1.0,1.0,72.0,,01-04-18 00:00,0.0,01-04-18 00:00,1111.0,3630.972,2164.1220000000003,3321.0,375.879,137.035,345.73,04-01-18,,,0
73,1,65.1,59.3,56.1,62.4,54.4,2018-01-04 01:00:00,6,61.14456090562687,,,,,4.050000000000011,,0.0,6.2,1.0,1.0,12.0,,01-04-18 01:00,0.0,01-04-18 01:00,1218.0,2453.781,1517.1190000000006,2205.0,366.548,144.694,329.365,04-01-18,,,0
74,2,63.6,56.9,53.0,60.3,53.4,2018-01-04 02:00:00,6,59.31505484986815,,,,,4.050000000000011,,0.0,6.366666666666667,1.0,1.0,6.0,,01-04-18 02:00,0.0,01-04-18 02:00,1213.0,1618.226,1146.81,1329.0,367.27,146.209,329.19499999999994,04-01-18,,,0
75,3,59.1,54.1,47.3,57.2,51.0,2018-01-04 03:00:00,6,55.50050506821796,,,,,4.080000000000041,,0.002,5.3,1.0,1.0,18.0,,01-04-18 03:00,0.0,01-04-18 03:00,1192.0,1191.348,821.0319999999999,1005.0,370.053,146.18800000000005,330.63999999999993,04-01-18,,,0
76,4,47.0,50.8,47.6,52.2,52.2,2018-01-04 04:00:00,6,50.49067965102708,,,,,3.850000000000023,,0.0,4.733333333333333,1.0,1.0,12.0,,01-04-18 04:00,0.0,01-04-18 04:00,1193.0,903.12,618.2719999999999,786.0,368.44699999999995,145.328,330.49,04-01-18,,,0
77,5,42.3,50.6,47.1,52.2,54.1,2018-01-04 05:00:00,6,50.835615294535835,,,,,2.8100000000000023,,0.001,5.333333333333333,1.0,1.0,,,01-04-18 05:00,0.0,01-04-18 05:00,1075.0,859.439,554.2590000000001,750.0,366.781,142.589,328.255,04-01-18,,,0
78,6,59.5,51.2,52.8,53.7,59.5,2018-01-04 06:00:00,6,56.701152673456285,,,,,3.1200000000000045,,-0.002,8.566666666666666,1.0,1.0,,6.0,01-04-18 06:00,0.0,01-04-18 06:00,1081.0,1062.5330000000001,768.3470000000002,930.0,363.366,137.881,328.55499999999995,04-01-18,,,0
79,7,64.0,54.0,67.8,57.6,61.9,2018-01-04 07:00:00,6,63.389712653104695,,,,,7.400000000000035,,0.001,8.1,1.0,1.0,,18.0,01-04-18 07:00,0.0,01-04-18 07:00,1026.0,1278.389,758.9580000000002,1140.0,364.894,141.75799999999995,325.32499999999993,04-01-18,,,0
80,8,63.0,57.2,65.9,62.7,64.2,2018-01-04 08:00:00,6,63.385710825730925,,,,,11.710000000000036,,-0.004,7.666666666666668,1.0,1.0,,18.0,01-04-18 08:00,0.0,01-04-18 08:00,1047.0,2036.764,1229.5259999999996,1800.0,366.389,140.10399999999998,326.89999999999986,04-01-18,,,0
81,9,65.9,58.4,64.6,61.1,63.4,2018-01-04 09:00:00,6,63.40139609311283,,,,,13.900000000000036,,-0.007000000000000001,11.866666666666667,1.0,1.0,,,01-04-18 09:00,0.0,01-04-18 09:00,1074.0,3807.948,2267.994,3360.0,364.976,133.024,331.0100000000001,04-01-18,,,0
82,10,58.7,58.6,65.0,59.8,64.5,2018-01-04 10:00:00,6,62.25381625998115,,,,,15.640000000000045,,-0.009000000000000001,16.066666666666666,0.0,0.0,,6.0,01-04-18 10:00,0.0,01-04-18 10:00,1051.0,5804.816,3614.8309999999997,4896.0,355.736,127.62000000000002,323.295,04-01-18,,,0
83,11,60.6,59.1,65.2,60.8,64.9,2018-01-04 11:00:00,6,62.81708396290034,,,,,16.650000000000034,,-0.009000000000000001,17.666666666666668,0.0,0.0,,6.0,01-04-18 11:00,0.0,01-04-18 11:00,891.0,7054.468000000002,4575.009000000001,5796.0,339.8329999999999,120.014,306.73,04-01-18,,,0
84,12,60.9,59.3,65.3,61.0,63.9,2018-01-04 12:00:00,6,62.640374077626284,,,,,16.99000000000001,,-0.009000000000000001,18.5,0.0,0.0,,84.0,01-04-18 12:00,0.0,01-04-18 12:00,890.0,7743.584000000002,4886.035,6468.0,337.347,121.975,297.59,04-01-18,,,0
85,13,59.8,58.8,61.1,60.8,64.6,2018-01-04 13:00:00,6,61.51560790598127,,,,,17.640000000000047,,-0.011000000000000001,18.733333333333334,0.0,0.0,6.0,,01-04-18 13:00,0.0,01-04-18 13:00,1024.0,3818.815999999999,2806.6610000000005,3204.0,359.31,134.39899999999997,325.87000000000006,04-01-18,,,0
